Latitude,Longitude
19.398288,-102.018049
19.398501,-102.018357
19.39873,-102.01868
19.398787,-102.018763
19.398967,-102.019007
19.399009,-102.01907
19.399191,-102.019335
19.399241,-102.019399
19.39938,-102.019604
19.399492,-102.019764
19.399513,-102.019786
19.399607,-102.019755
19.399815,-102.019686
19.399985,-102.019643
19.400273,-102.019539
19.400462,-102.019485
19.400756,-102.019391
19.401008,-102.019323
19.401061,-102.019313
19.401109,-102.019371
19.4013,-102.019645
19.401347,-102.019713
19.401546,-102.019989
19.401587,-102.020044
19.401768,-102.020312
19.401816,-102.020374
19.401984,-102.020629
19.402033,-102.020694
19.402161,-102.020852
19.402285,-102.021002
19.402332,-102.021069
19.402519,-102.021333
19.402579,-102.02141
19.402819,-102.021751
19.402996,-102.022001
19.403047,-102.022067
19.403228,-102.022322
19.403278,-102.022384
19.403449,-102.022642
19.40351,-102.022723
19.403603,-102.022845
19.403679,-102.022959
19.403734,-102.023015
19.403944,-102.02329
19.403992,-102.02335
19.404159,-102.023596
19.404221,-102.023675
19.404382,-102.023915
19.404428,-102.02398
19.404599,-102.02422
19.404653,-102.024283
19.404847,-102.024527
19.404877,-102.024552
19.405033,-102.024443
19.405107,-102.024391
19.405169,-102.024343
19.405377,-102.024125
19.405459,-102.024052
19.405608,-102.023926
19.40567,-102.023851
19.405732,-102.0238
19.405846,-102.023708
19.405935,-102.023622
19.406004,-102.023562
19.406092,-102.023485
19.406176,-102.023421
19.406278,-102.023327
19.406495,-102.023151
19.40659,-102.023059
19.40672,-102.022939
19.406875,-102.022804
19.407033,-102.022656
19.407173,-102.022528
19.407247,-102.022459
19.407467,-102.022276
19.407533,-102.022251
19.407569,-102.022274
19.407775,-102.022414
19.407851,-102.022468
19.408109,-102.022641
19.408178,-102.022691
19.408477,-102.022895
19.408568,-102.022947
19.408863,-102.023144
19.40894,-102.02319
19.409255,-102.023414
19.409322,-102.023463
19.409431,-102.023537
19.409513,-102.023593
19.409811,-102.023784
19.410015,-102.023917
19.410259,-102.024077
19.410405,-102.02418
19.41045,-102.024109
19.410474,-102.024078
19.410553,-102.024141
19.410624,-102.024196
19.410705,-102.024268
19.410789,-102.024341
19.410953,-102.024481
19.411078,-102.024586
19.411176,-102.024667
19.411209,-102.024697
19.411398,-102.024905
19.411527,-102.025047
19.411573,-102.025101
19.411623,-102.025178
19.411751,-102.025381
19.411902,-102.025636
19.412,-102.025782
