Latitude,Longitude
19.381946,-102.031512
19.38222,-102.031444
19.382599,-102.031355
19.382698,-102.03133
19.383122,-102.031252
19.383347,-102.031203
19.383429,-102.031203
19.383542,-102.031231
19.383883,-102.031373
19.384055,-102.031442
19.384162,-102.031481
19.384403,-102.031552
19.384457,-102.031569
19.384706,-102.03164
19.384994,-102.031726
19.385187,-102.031764
19.385318,-102.031812
19.385665,-102.031931
19.385955,-102.032019
19.386377,-102.032139
19.386609,-102.032195
19.387026,-102.032277
19.387252,-102.032324
19.387515,-102.032368
19.38786,-102.03243
19.388041,-102.032466
19.388205,-102.032493
19.388546,-102.032613
19.38881,-102.032737
19.389063,-102.032853
19.38943,-102.033022
19.389793,-102.033203
19.390194,-102.033387
19.390631,-102.033581
19.39078,-102.033651
19.391107,-102.033818
19.391491,-102.034003
19.391741,-102.034126
19.392118,-102.034319
19.392445,-102.034486
19.392827,-102.03467
19.393087,-102.034793
19.39316,-102.034828
19.393378,-102.03494
19.393666,-102.035078
19.394,-102.035237
19.394335,-102.035399
19.394686,-102.035568
19.39498,-102.03571
19.395258,-102.035842
19.395511,-102.035967
19.395595,-102.036012
19.395664,-102.03605
19.395723,-102.036101
19.395912,-102.035985
19.396173,-102.035822
19.396273,-102.03575
19.396476,-102.035623
19.396767,-102.035422
19.396971,-102.035293
19.397127,-102.035198
19.397343,-102.035069
19.397543,-102.034941
19.397858,-102.034734
19.398061,-102.034603
19.398314,-102.034438
19.398599,-102.034247
19.398872,-102.034066
19.399036,-102.033959
19.3993,-102.033788
19.399709,-102.033525
19.399889,-102.033408
19.400093,-102.033273
19.4004,-102.03307
19.400671,-102.032897
19.400982,-102.032698
19.401269,-102.032513
19.401551,-102.032328
19.401851,-102.032126
19.402174,-102.031926
19.402883,-102.031459
19.403084,-102.03132
19.403727,-102.030915
19.404147,-102.030633
19.404455,-102.030437
19.405049,-102.030048
19.405682,-102.029643
19.405993,-102.029427
19.406917,-102.028818
19.407677,-102.028333
19.407917,-102.028199
19.408712,-102.027665
19.409485,-102.027159
19.40988,-102.026886
19.410469,-102.026513
19.410965,-102.026169
19.411375,-102.025923
19.411764,-102.025722
19.411916,-102.025667
19.412075,-102.025914
19.412202,-102.026127
19.412423,-102.026491
19.412473,-102.026571
19.412733,-102.026991
19.412983,-102.027401
19.413087,-102.027571
19.413125,-102.027617
19.413435,-102.02789
19.413675,-102.028097
19.413867,-102.028256
19.414047,-102.028421
19.414191,-102.028555
19.414293,-102.028655
19.414545,-102.028909
19.414724,-102.029086
19.415058,-102.029422
19.415372,-102.029753
19.415504,-102.029894
19.415663,-102.030101
19.415766,-102.030348
19.41591,-102.030778
19.416072,-102.031316
19.416252,-102.031923
19.41632,-102.032146
19.416456,-102.032576
19.41652,-102.032786
19.41657,-102.032988
19.416643,-102.033295
19.416663,-102.033446
19.416657,-102.033582
19.416646,-102.033676
19.416576,-102.033946
19.4165,-102.034213
19.416287,-102.034864
