Latitude,Longitude
19.387303,-102.052929
19.387657,-102.05272
19.388042,-102.052554
19.388163,-102.052484
19.388267,-102.052723
19.388305,-102.052806
19.388548,-102.053267
19.388573,-102.053319
19.388148,-102.05344
19.388065,-102.053467
19.387587,-102.05364
19.387566,-102.053649
19.387628,-102.053868
19.387742,-102.054258
19.387764,-102.054311
19.388235,-102.054176
19.388332,-102.054146
19.388734,-102.054032
19.38892,-102.053987
19.389352,-102.053932
19.389864,-102.053849
19.390016,-102.053836
19.390034,-102.053929
19.390198,-102.054568
19.390431,-102.055467
19.390474,-102.055636
19.390699,-102.056433
19.390737,-102.056601
19.390827,-102.056939
19.390876,-102.057105
19.390927,-102.057318
19.390953,-102.057343
19.391137,-102.057297
19.391344,-102.057236
19.391773,-102.057107
19.391934,-102.057062
19.391984,-102.057045
19.39202,-102.05709
19.392051,-102.057194
19.392126,-102.057495
19.392182,-102.057694
19.39225,-102.057968
19.39228,-102.05809
19.392295,-102.058117
19.392646,-102.058024
19.392983,-102.057924
19.393293,-102.057847
19.393476,-102.057796
19.393978,-102.057664
19.394665,-102.057469
19.395233,-102.057304
19.395547,-102.057228
19.395553,-102.057165
19.395563,-102.0571
19.395588,-102.057048
19.395613,-102.056998
19.395662,-102.056947
19.395694,-102.056918
19.395744,-102.056899
19.395848,-102.056906
19.395929,-102.056931
19.395977,-102.05696
19.396018,-102.057006
19.396321,-102.056902
19.396843,-102.056748
19.397008,-102.056704
19.397462,-102.056568
19.397979,-102.056422
19.39823,-102.056352
19.399161,-102.056072
19.399359,-102.056001
19.400292,-102.055742
19.40068,-102.055619
19.401072,-102.055506
19.40152,-102.055381
19.401747,-102.055312
19.402176,-102.055189
19.40262,-102.055062
19.402902,-102.054982
19.40332,-102.054846
19.403835,-102.054693
19.404063,-102.054638
19.404562,-102.054496
19.405027,-102.054364
19.405189,-102.05431
19.40569,-102.054162
19.406033,-102.054069
19.406113,-102.054036
19.406138,-102.053967
19.406171,-102.053917
19.406252,-102.053842
19.406344,-102.053823
19.406392,-102.053819
19.406487,-102.053853
19.406562,-102.053891
19.406959,-102.053761
19.407333,-102.053639
19.407506,-102.053586
19.407763,-102.053517
19.407934,-102.05347
19.408371,-102.053337
19.40895,-102.053175
19.409149,-102.053117
19.409326,-102.053069
19.409657,-102.052977
19.410185,-102.052829
19.410405,-102.052774
19.410817,-102.052653
19.411165,-102.052568
19.411317,-102.05252
19.41168,-102.052414
19.412385,-102.0522
19.41275,-102.052088
19.412856,-102.052079
19.412945,-102.052328
19.413035,-102.05257
19.413253,-102.0532
19.413298,-102.053327
19.41356,-102.05408
19.413607,-102.054221
19.413876,-102.05495
19.413915,-102.055072
19.414162,-102.055796
19.414216,-102.055944
19.414432,-102.056533
19.414532,-102.056788
19.414579,-102.056935
19.414731,-102.057497
19.414854,-102.057955
19.414886,-102.058048
19.41499,-102.05841
