Latitude,Longitude
19.401961,-102.041551
19.402455,-102.042632
19.402574,-102.042924
19.402819,-102.043537
19.402892,-102.043714
19.402998,-102.043974
19.403282,-102.044701
19.403383,-102.044773
19.403621,-102.044673
19.403755,-102.044628
19.404018,-102.044518
19.404208,-102.044432
19.404718,-102.044239
19.405241,-102.044038
19.40541,-102.043982
19.405597,-102.043952
19.405906,-102.04399
19.406169,-102.044062
19.406351,-102.044112
19.406412,-102.044271
19.406546,-102.044611
19.4066,-102.044742
19.40671,-102.044992
19.406766,-102.0451
19.406896,-102.045392
19.406941,-102.045493
19.407039,-102.045764
19.407087,-102.045886
19.407196,-102.046155
19.407247,-102.046266
19.407353,-102.046538
19.4075,-102.046941
19.407646,-102.047326
19.407779,-102.047711
19.407806,-102.047816
19.407817,-102.04791
19.407846,-102.048013
19.407964,-102.048503
19.407991,-102.048572
19.40836,-102.048472
19.408931,-102.048308
19.409128,-102.048241
19.409481,-102.048143
19.409949,-102.047993
19.410125,-102.047953
19.410499,-102.047854
19.410971,-102.04773
19.411123,-102.047694
19.41163,-102.047562
19.412127,-102.047416
19.412599,-102.047283
19.412878,-102.047203
19.413378,-102.047062
19.414296,-102.046821
19.415043,-102.046628
19.415354,-102.046526
19.415779,-102.046403
19.416482,-102.046226
19.416897,-102.046116
19.417114,-102.046043
19.417353,-102.045939
19.417456,-102.045877
19.418117,-102.045711
19.418587,-102.045598
19.418949,-102.045507
19.419265,-102.045432
19.419351,-102.045405
19.419457,-102.046314
19.419526,-102.046923
19.419607,-102.047688
19.41967,-102.048449
19.419708,-102.048777
19.419746,-102.049117
19.419849,-102.050051
19.419925,-102.051016
19.420037,-102.051901
19.420039,-102.051968
19.420103,-102.051983
19.420139,-102.052004
19.420179,-102.052036
19.420225,-102.052086
19.420238,-102.052137
19.420225,-102.052191
19.420202,-102.052231
19.420187,-102.052259
19.420161,-102.052275
19.420125,-102.052286
19.420099,-102.052288
19.420108,-102.052404
19.420157,-102.053037
19.420169,-102.053214
19.420275,-102.053974
19.420293,-102.054051
19.420078,-102.054116
19.419504,-102.054244
19.419284,-102.054306
19.418912,-102.054381
19.418613,-102.054459
19.418386,-102.054548
19.418169,-102.054645
19.417469,-102.054895
19.41734,-102.054943
19.41739,-102.055166
19.417572,-102.055836
19.417643,-102.056078
19.417866,-102.056915
19.417965,-102.057212
19.418169,-102.057931
19.418267,-102.058301
19.418419,-102.058851
19.4187,-102.059835
19.418771,-102.060095
19.419004,-102.060903
19.419072,-102.061192
19.419305,-102.061927
19.41935,-102.062077
19.419762,-102.061965
19.420246,-102.061812
19.42049,-102.061739
19.42071,-102.061667
19.420852,-102.06164
19.421001,-102.062195
19.421158,-102.062869
19.421259,-102.063284
19.421476,-102.063998
19.421504,-102.06407
19.421724,-102.064019
19.42196,-102.063966
19.422127,-102.063933
19.422223,-102.063614
19.42223,-102.063515
19.422427,-102.06342
19.422976,-102.063262
19.423213,-102.063169
19.423653,-102.063002
19.423975,-102.062892
19.42417,-102.062828
19.424663,-102.06267
19.42507,-102.062528
19.425417,-102.062394
19.426087,-102.062168
19.426332,-102.062077
19.427043,-102.061857
19.427293,-102.061792
19.427609,-102.061668
19.427895,-102.061588
19.428203,-102.061486
19.428429,-102.061432
19.428545,-102.061788
19.428679,-102.06233
19.428757,-102.062601
19.428886,-102.063019
19.42903,-102.063502
19.42912,-102.06377
19.429403,-102.064685
19.429476,-102.064921
19.429752,-102.065774
19.429808,-102.065943
19.429942,-102.066334
19.429995,-102.066565
19.430152,-102.066908
19.430278,-102.067142
19.430475,-102.06745
19.430733,-102.067753
19.430905,-102.067941
19.431171,-102.068206
19.431553,-102.068526
19.432041,-102.068904
19.432524,-102.069314
19.433073,-102.069786
19.433369,-102.070057
19.433538,-102.070232
19.43368,-102.07046
19.433809,-102.070717
