Latitude,Longitude
19.429489,-102.069908
19.429638,-102.069521
19.429717,-102.06936
19.429914,-102.069246
19.430132,-102.069132
19.430194,-102.06909
19.429735,-102.068133
19.429501,-102.067609
19.429324,-102.067229
19.429277,-102.067172
19.428905,-102.067314
19.428834,-102.06735
19.42881,-102.067257
19.42869,-102.066856
19.428626,-102.066582
19.428542,-102.066303
19.428538,-102.066268
19.428689,-102.066207
19.428855,-102.06614
19.428953,-102.066108
19.429196,-102.066041
19.429402,-102.065978
19.429616,-102.065918
19.42967,-102.065895
19.429386,-102.064936
19.429323,-102.064755
19.429003,-102.063776
19.428933,-102.063516
19.428678,-102.062662
19.428617,-102.062498
19.428372,-102.061573
19.428306,-102.061379
19.42806,-102.060591
19.42799,-102.060322
19.427747,-102.059533
19.427527,-102.058753
19.42737,-102.058222
19.427276,-102.057945
19.427097,-102.057387
19.426927,-102.056838
19.426732,-102.056229
19.426611,-102.055775
19.426442,-102.055266
19.426366,-102.055008
19.426249,-102.054512
19.426183,-102.054147
19.426155,-102.053965
19.42614,-102.053842
19.426054,-102.053058
19.426041,-102.052755
19.425981,-102.052101
19.425963,-102.051951
19.42589,-102.051154
19.425874,-102.050969
19.425801,-102.050143
19.425773,-102.049995
19.42569,-102.049172
19.425677,-102.048874
19.42525,-102.048391
19.424804,-102.048265
19.424632,-102.048196
19.424243,-102.048045
19.423803,-102.04793
19.423689,-102.047903
19.423492,-102.04786
19.423315,-102.047844
19.423041,-102.047842
19.422508,-102.047874
19.422315,-102.047919
19.421567,-102.048067
19.421402,-102.048078
19.42099,-102.048137
19.420901,-102.048163
19.420681,-102.048362
19.420517,-102.048547
19.420173,-102.048981
19.419996,-102.049209
19.419892,-102.049325
19.419702,-102.049502
19.419282,-102.04984
19.419057,-102.050006
19.418922,-102.05011
19.418803,-102.050199
19.418458,-102.050477
19.418293,-102.050596
19.418165,-102.050657
19.418142,-102.050657
19.418138,-102.050694
19.418119,-102.050744
19.418093,-102.0508
19.418056,-102.05082
19.417983,-102.050828
19.417942,-102.050814
19.417886,-102.05078
19.417843,-102.050793
19.417412,-102.050935
19.417004,-102.051072
19.416736,-102.051152
19.41644,-102.051254
19.416324,-102.051284
19.415889,-102.051413
19.415339,-102.05157
19.415026,-102.051662
19.414875,-102.051711
19.414571,-102.051791
19.414289,-102.051867
19.414162,-102.051903
19.413762,-102.052003
19.413654,-102.052035
19.413566,-102.052064
19.413344,-102.052135
19.413096,-102.052217
19.412937,-102.052269
19.412873,-102.052288
19.412523,-102.05239
19.412357,-102.052442
19.412263,-102.05247
19.411903,-102.05257
19.411552,-102.052671
19.41134,-102.052725
19.411256,-102.052758
19.410949,-102.052847
19.41038,-102.053027
19.410305,-102.053049
19.409966,-102.053134
19.409655,-102.053219
19.409318,-102.053299
19.409176,-102.053334
19.408792,-102.053448
19.408503,-102.05353
19.408024,-102.053668
19.407928,-102.0537
19.407714,-102.053767
19.407361,-102.053871
19.407069,-102.053953
19.406675,-102.054079
19.406635,-102.054094
19.40663,-102.054119
19.406617,-102.054157
19.406609,-102.054194
19.406585,-102.054237
19.406531,-102.054298
19.406481,-102.054321
19.406423,-102.054337
19.406354,-102.054337
