Latitude,Longitude
19.426551,-102.043072
19.426619,-102.042582
19.426715,-102.042131
19.426735,-102.041916
19.426687,-102.041804
19.426546,-102.041729
19.426374,-102.041667
19.426298,-102.041919
19.426189,-102.042249
19.426057,-102.042764
19.425964,-102.043102
19.425918,-102.043314
19.425802,-102.043735
19.4257,-102.044117
19.425654,-102.044543
19.425636,-102.044908
19.425614,-102.045447
19.425604,-102.045643
19.425601,-102.045874
19.425611,-102.046287
19.425626,-102.046854
19.425695,-102.04739
19.42574,-102.047836
19.425763,-102.048104
19.425798,-102.048517
19.425846,-102.048946
19.425857,-102.049179
19.425882,-102.049684
19.42592,-102.049928
19.425937,-102.050158
19.425955,-102.050384
19.425983,-102.050952
19.425998,-102.051124
19.426087,-102.051915
19.426092,-102.052084
19.426152,-102.052792
19.426183,-102.053058
19.426239,-102.05366
19.426274,-102.053941
19.426342,-102.054247
19.426398,-102.054539
19.426522,-102.054971
19.42658,-102.055197
19.426689,-102.05558
19.426828,-102.056068
19.427,-102.056621
19.427147,-102.057173
19.4274,-102.057967
19.427491,-102.058185
19.427787,-102.059196
19.42787,-102.059459
19.428108,-102.060255
19.428288,-102.060904
19.428551,-102.061779
19.428627,-102.062027
19.428679,-102.062072
19.428728,-102.062127
19.428775,-102.0622
19.428808,-102.062281
19.428844,-102.062384
19.428829,-102.062442
19.4288,-102.062485
19.428585,-102.062591
19.428298,-102.062701
19.428212,-102.062735
19.427996,-102.062801
19.427523,-102.062951
19.427391,-102.062986
19.426905,-102.063157
19.426565,-102.063277
19.426381,-102.06334
19.426002,-102.063449
19.425535,-102.063587
19.425437,-102.063622
19.425223,-102.063734
19.4251,-102.063803
19.424842,-102.063876
19.424473,-102.063992
19.424359,-102.064015
19.423983,-102.064136
19.423546,-102.064269
19.423294,-102.064341
19.422942,-102.064445
19.422461,-102.064577
19.422239,-102.064646
19.4218,-102.06479
19.421355,-102.064912
19.421265,-102.064936
19.421197,-102.064657
19.421112,-102.064336
19.421012,-102.064001
19.42087,-102.063493
19.420737,-102.062947
19.420633,-102.062576
19.420542,-102.062268
19.420428,-102.061879
19.420301,-102.061483
19.420155,-102.061024
19.420074,-102.060781
19.41997,-102.06038
19.419887,-102.060064
19.419786,-102.059732
19.419701,-102.059437
19.419502,-102.058732
19.4193,-102.05802
19.419199,-102.057667
19.419018,-102.057094
19.418928,-102.056788
19.418852,-102.056507
19.418642,-102.055754
19.418614,-102.055648
19.418701,-102.055597
19.418576,-102.055037
19.418474,-102.054575
19.418349,-102.05394
19.418275,-102.053617
19.418209,-102.053162
19.418179,-102.05278
19.418093,-102.052029
19.41802,-102.05125
19.417995,-102.050942
19.417993,-102.050857
19.417972,-102.050831
19.417917,-102.050813
19.417887,-102.050786
19.417864,-102.050747
19.417861,-102.050671
19.417896,-102.050564
19.417942,-102.050525
19.418022,-102.050514
19.418099,-102.050513
19.418348,-102.050324
19.41863,-102.050135
19.418907,-102.049924
19.419119,-102.049747
19.419311,-102.049591
19.419533,-102.049393
19.41974,-102.049203
19.419906,-102.049063
19.420003,-102.048939
19.420233,-102.048664
19.420443,-102.048403
19.420633,-102.048213
19.420805,-102.048076
19.42102,-102.048002
19.421249,-102.047958
19.421617,-102.047889
19.421985,-102.047846
19.422353,-102.047775
19.422657,-102.047736
19.423049,-102.047693
19.423386,-102.047693
19.423697,-102.047766
19.42394,-102.047831
19.424195,-102.047906
19.424481,-102.047974
19.42494,-102.048079
19.425141,-102.048116
19.425241,-102.048076
19.42538,-102.047997
19.425454,-102.047931
19.425501,-102.047839
19.425569,-102.047694
19.425569,-102.047571
19.425546,-102.047416
19.425537,-102.047262
19.425526,-102.047039
19.425521,-102.046936
19.425509,-102.046701
19.425499,-102.046406
19.425482,-102.045844
19.425474,-102.045583
19.425495,-102.045127
19.425523,-102.04475
19.425554,-102.044446
19.425611,-102.044059
19.425674,-102.043798
19.425745,-102.043457
19.425809,-102.043198
19.425833,-102.043022
19.42597,-102.043071
19.426099,-102.043095
19.426256,-102.043087
19.426541,-102.043087
