Latitude,Longitude
19.39265,-102.046219
19.392672,-102.04618
19.392795,-102.046105
19.392921,-102.046022
19.393033,-102.045953
19.393069,-102.045947
19.393101,-102.045959
19.393129,-102.045984
19.39322,-102.04613
19.393364,-102.046362
19.393476,-102.046546
19.393616,-102.046785
19.39368,-102.04689
19.393684,-102.046899
19.393728,-102.046873
19.39384,-102.046795
19.393994,-102.046691
19.394232,-102.04652
19.394559,-102.0463
19.394893,-102.04608
19.395187,-102.045899
19.395639,-102.045616
19.395843,-102.045491
19.396135,-102.045303
19.396165,-102.045355
19.396289,-102.045555
19.396429,-102.045787
19.396559,-102.046006
19.396577,-102.046028
19.396731,-102.045968
19.396966,-102.045875
19.397312,-102.045736
19.397472,-102.045673
19.397516,-102.045652
19.39761,-102.04589
19.397694,-102.046131
19.397777,-102.04636
19.397893,-102.046753
19.397912,-102.046786
19.39805,-102.046778
19.398436,-102.046765
19.398508,-102.046753
19.398543,-102.046833
19.398656,-102.047126
19.398767,-102.047438
19.398815,-102.047624
19.39888,-102.047896
19.398947,-102.048115
19.399019,-102.048383
19.399112,-102.04879
19.399161,-102.049002
19.399231,-102.049215
19.399366,-102.049635
19.399388,-102.049746
19.399225,-102.049744
19.398969,-102.049736
19.398813,-102.049732
19.398542,-102.049721
19.398337,-102.049713
19.398196,-102.049694
19.397851,-102.049653
19.397735,-102.04964
19.397358,-102.049598
19.397117,-102.04956
19.396849,-102.049529
19.396659,-102.049509
19.396491,-102.049486
19.396363,-102.049516
19.396172,-102.049569
19.396226,-102.04972
19.396317,-102.049961
19.396381,-102.050133
19.396465,-102.050386
19.396541,-102.050585
19.396679,-102.050944
19.396759,-102.051153
19.396885,-102.051487
19.396907,-102.051538
19.396927,-102.051615
19.39696,-102.051796
19.397012,-102.052121
19.397042,-102.052299
19.397066,-102.052428
19.397155,-102.052791
19.39726,-102.053205
19.397313,-102.053442
19.397391,-102.053751
19.397415,-102.053824
19.397454,-102.053969
19.397526,-102.054252
19.39759,-102.054495
19.397634,-102.054653
19.397674,-102.054803
19.397738,-102.055045
19.397847,-102.055457
19.397937,-102.055816
19.398071,-102.056323
19.398092,-102.05639
19.398369,-102.056311
19.399004,-102.056129
19.399205,-102.056056
19.399791,-102.055898
19.400129,-102.055783
19.400431,-102.055699
19.400699,-102.055624
19.401105,-102.055502
19.401521,-102.055379
19.401811,-102.055299
19.402188,-102.055192
19.402462,-102.055108
19.402732,-102.055029
19.402959,-102.054961
19.403367,-102.054832
19.403689,-102.054742
19.40389,-102.054692
19.404272,-102.054576
19.404605,-102.05449
19.405018,-102.054366
19.405209,-102.054293
19.405437,-102.054232
19.405619,-102.054181
19.405948,-102.054083
19.406115,-102.054042
19.406151,-102.053977
19.406169,-102.053921
19.406208,-102.053882
19.406264,-102.053841
19.406378,-102.05382
19.406499,-102.053853
19.40656,-102.053882
19.406855,-102.053795
19.407245,-102.053681
19.407515,-102.053588
19.407778,-102.053519
19.408143,-102.053417
19.408692,-102.053252
19.409149,-102.05312
19.409671,-102.052985
19.409941,-102.052896
19.410206,-102.052829
19.410363,-102.052782
19.410711,-102.052687
19.410947,-102.052621
19.411223,-102.05255
19.411576,-102.052446
19.412112,-102.052277
19.412348,-102.052204
19.412757,-102.052095
19.41296,-102.052031
19.413256,-102.05195
19.413581,-102.05184
19.413801,-102.051765
19.414206,-102.051655
19.414947,-102.051463
19.415024,-102.051738
19.415252,-102.052599
19.415276,-102.052714
19.415488,-102.053484
19.415704,-102.054379
19.415745,-102.054484
19.415954,-102.055278
19.415986,-102.055398
19.416033,-102.055603
19.416111,-102.055882
19.416205,-102.056275
19.416226,-102.056411
19.41623,-102.056502
19.416255,-102.056601
19.416325,-102.056847
19.41639,-102.057077
19.416455,-102.057312
19.416489,-102.057434
19.416507,-102.057503
19.416598,-102.057819
19.416668,-102.058055
19.416747,-102.058348
19.416784,-102.058488
19.416857,-102.058781
19.41693,-102.059066
19.416941,-102.05911
19.416993,-102.059303
19.417076,-102.059634
19.417089,-102.059662
19.417268,-102.059836
19.417447,-102.059998
19.417615,-102.06015
19.417712,-102.060238
19.417751,-102.060283
19.417766,-102.060311
19.417916,-102.060262
19.418072,-102.060217
19.418224,-102.060168
19.418452,-102.060081
19.418734,-102.059983
19.418794,-102.060175
19.418895,-102.060517
19.419019,-102.061003
19.419064,-102.061143
19.41914,-102.061417
19.419267,-102.061807
19.41933,-102.062024
19.419401,-102.062216
19.419544,-102.062644
19.419653,-102.063015
19.419696,-102.063148
19.419423,-102.063245
19.419162,-102.063339
19.418827,-102.063452
19.418684,-102.063482
19.418655,-102.063369
19.418575,-102.063094
19.418465,-102.062767
19.418375,-102.062478
19.418334,-102.062373
19.418235,-102.061996
19.418083,-102.061515
19.418007,-102.061248
19.417936,-102.060944
19.417885,-102.060773
19.417806,-102.060464
19.41776,-102.060358
19.417704,-102.060269
19.417623,-102.060198
19.417503,-102.06008
19.417369,-102.059959
19.417274,-102.059871
19.417084,-102.059702
19.417057,-102.059651
19.416999,-102.059457
19.416948,-102.059289
19.416834,-102.05883
19.416804,-102.058663
19.416761,-102.058506
19.416751,-102.058457
19.416709,-102.058302
19.416634,-102.058022
19.416577,-102.057827
19.416523,-102.057633
19.416483,-102.057499
19.416408,-102.057228
19.416326,-102.05694
19.416235,-102.056613
19.416209,-102.056511
19.416182,-102.056445
19.416152,-102.056391
19.41612,-102.056302
19.416059,-102.05604
19.41598,-102.055703
19.415911,-102.055372
19.415864,-102.055222
19.415757,-102.054825
19.415665,-102.05449
19.415569,-102.054158
