Latitude,Longitude
19.393653,-102.049051
19.393324,-102.049102
19.392985,-102.049156
19.392299,-102.049266
19.392264,-102.049284
19.392302,-102.049426
19.392385,-102.049553
19.392565,-102.049762
19.392808,-102.05007
19.392894,-102.050199
19.393078,-102.050882
19.393189,-102.05125
19.393367,-102.05181
19.393381,-102.0519
19.393455,-102.052209
19.393537,-102.052579
19.393628,-102.052995
19.393737,-102.053457
19.393741,-102.053526
19.393691,-102.053522
19.393518,-102.05353
19.393427,-102.053531
19.393326,-102.05353
19.393207,-102.05354
19.393046,-102.053561
19.392779,-102.053599
19.392539,-102.053615
19.392325,-102.053634
19.392314,-102.053638
19.392334,-102.053761
19.392354,-102.053901
19.392372,-102.054009
19.392398,-102.054107
19.392507,-102.054497
19.392608,-102.054843
19.39263,-102.054921
19.392758,-102.055371
19.392789,-102.055495
19.392888,-102.055883
19.393062,-102.056567
19.393083,-102.056654
19.393259,-102.057338
19.393357,-102.057708
19.393386,-102.057817
19.393692,-102.057748
19.394202,-102.057607
19.394541,-102.057507
19.395012,-102.057375
19.395371,-102.057279
19.395543,-102.057226
19.395566,-102.057164
19.395566,-102.057113
19.395601,-102.057046
19.395627,-102.056998
19.395705,-102.056925
19.395834,-102.056904
19.39594,-102.056947
19.396039,-102.057006
19.396354,-102.056916
19.396824,-102.056758
19.397017,-102.056685
19.397406,-102.056575
19.39784,-102.056454
19.398301,-102.056317
19.399098,-102.056076
19.399386,-102.055998
19.401548,-102.055405
19.40163,-102.055377
19.401719,-102.055661
19.401843,-102.0561
19.401923,-102.056468
19.401966,-102.056613
19.402149,-102.057404
19.402207,-102.057589
19.402343,-102.05819
19.402397,-102.058343
19.402839,-102.058544
19.403097,-102.058611
19.403371,-102.058622
19.403682,-102.058605
19.40378,-102.058603
19.403912,-102.059115
19.403848,-102.05916
19.403454,-102.059356
19.403446,-102.05936
19.403481,-102.059492
19.403507,-102.059657
19.403516,-102.059821
19.403507,-102.060151
19.403495,-102.060201
19.403388,-102.060348
19.403347,-102.060461
19.403313,-102.060593
19.403217,-102.06091
19.403068,-102.061204
19.403059,-102.061236
19.403142,-102.061418
19.40324,-102.061575
19.403303,-102.061703
19.403297,-102.061813
19.403255,-102.061952
19.403193,-102.062172
19.403283,-102.062323
19.40337,-102.062441
19.403533,-102.06254
19.403584,-102.062595
19.403623,-102.062678
19.403656,-102.062874
19.403671,-102.063162
19.403681,-102.063224
19.403817,-102.063384
19.403917,-102.063499
19.404092,-102.063665
19.404309,-102.063864
19.404465,-102.063985
19.404565,-102.064062
19.404714,-102.064128
19.404839,-102.064219
19.404899,-102.064278
19.404965,-102.064402
19.405025,-102.064565
19.40506,-102.064682
19.40508,-102.064773
19.405079,-102.064949
19.405005,-102.065087
19.404912,-102.065221
19.404865,-102.065299
19.404839,-102.065341
19.404834,-102.06539
19.404836,-102.065445
19.404845,-102.065523
19.404864,-102.065605
19.404895,-102.065715
19.404956,-102.065805
19.405004,-102.065876
19.40506,-102.065994
19.405211,-102.066247
19.405242,-102.066305
19.405297,-102.066342
19.40534,-102.066376
19.405371,-102.066413
19.405547,-102.066507
19.405737,-102.066544
19.405924,-102.066591
19.406218,-102.066661
19.406449,-102.066718
19.406643,-102.066764
19.406857,-102.066809
19.407027,-102.066838
19.407223,-102.066836
19.407459,-102.066823
19.407681,-102.066793
19.408226,-102.066691
19.408416,-102.066655
19.408623,-102.066597
19.408951,-102.06652
19.409157,-102.066473
19.40937,-102.066419
19.409618,-102.066356
19.409977,-102.066247
19.410316,-102.066133
19.410718,-102.066007
19.411061,-102.065897
19.411431,-102.065771
19.411699,-102.065682
19.411759,-102.065673
19.411802,-102.0658
19.411898,-102.066166
19.412061,-102.066714
19.412074,-102.066757
19.412319,-102.066672
19.412693,-102.066542
19.413009,-102.066431
19.413186,-102.066365
19.413491,-102.066267
19.413954,-102.066116
19.414144,-102.066053
19.414651,-102.065899
19.414908,-102.065812
19.415626,-102.065584
19.415994,-102.065477
19.416487,-102.065301
19.417079,-102.065135
19.417727,-102.06492
19.418248,-102.064748
19.418658,-102.064625
19.419143,-102.064477
19.419824,-102.064249
19.419963,-102.064215
19.420244,-102.065175
19.42036,-102.065591
19.420557,-102.066277
19.420636,-102.066557
19.420774,-102.067049
19.420878,-102.067356
19.420907,-102.067438
19.420636,-102.067522
19.419993,-102.067723
19.419812,-102.06778
19.41934,-102.067935
19.419072,-102.068049
19.419034,-102.068213
19.418968,-102.068562
19.418869,-102.069176
19.418839,-102.069264
19.418303,-102.069428
19.418407,-102.069824
19.418573,-102.070326
19.418905,-102.071348
19.419014,-102.071691
19.419361,-102.072845
19.419426,-102.073075
19.419482,-102.073166
19.419988,-102.073128
19.420555,-102.073093
19.420962,-102.073059
19.421022,-102.073118
19.42103,-102.073362
19.42105,-102.073783
19.421081,-102.074207
19.421093,-102.074239
19.420727,-102.074266
19.419963,-102.074325
19.419879,-102.074335
19.419831,-102.074268
19.418812,-102.074555
19.41864,-102.074609
19.418645,-102.074514
19.41863,-102.074432
19.418602,-102.074306
19.418553,-102.074127
19.418506,-102.073958
19.418447,-102.073758
19.418385,-102.073552
19.418218,-102.072947
19.418156,-102.072752
19.418098,-102.072611
19.418044,-102.072548
19.417995,-102.072415
19.417859,-102.071961
19.417795,-102.071729
19.417577,-102.070912
19.417502,-102.070668
19.417284,-102.069932
19.417257,-102.069826
19.417214,-102.069666
19.417008,-102.068805
19.416949,-102.068595
19.416694,-102.067737
19.416624,-102.067526
19.416375,-102.066652
19.416307,-102.066457
19.416088,-102.065703
19.416016,-102.065468
19.416387,-102.065341
19.417381,-102.06503
19.417945,-102.064849
19.418306,-102.064734
19.418956,-102.064534
19.419606,-102.064315
19.420258,-102.064115
19.420857,-102.063936
19.420989,-102.063902
19.420946,-102.063701
19.4208,-102.063177
19.420714,-102.062823
19.420285,-102.062954
19.419759,-102.063135
19.419503,-102.063217
19.419046,-102.063378
19.418734,-102.063482
19.418613,-102.063507
19.418249,-102.063615
19.417764,-102.063784
19.4176,-102.06382
19.417163,-102.063962
19.416868,-102.064056
19.41657,-102.064142
19.416199,-102.064271
19.415566,-102.06448
19.41493,-102.064698
19.414794,-102.06476
19.414597,-102.064819
19.41399,-102.064991
19.413794,-102.065056
19.413072,-102.065295
19.412824,-102.065373
19.412654,-102.06542
19.411929,-102.065683
19.411775,-102.065728
19.411491,-102.065832
19.411054,-102.065988
19.410766,-102.066082
19.410447,-102.066191
19.410144,-102.066283
19.409696,-102.066426
19.409553,-102.066468
19.409128,-102.066557
19.408837,-102.066624
19.408576,-102.066692
19.408318,-102.066757
19.407872,-102.06683
19.407715,-102.066858
19.407307,-102.06692
19.407144,-102.066922
19.406991,-102.066912
19.406698,-102.066844
19.406425,-102.066778
19.406101,-102.06671
19.405811,-102.066641
19.405428,-102.066557
19.405282,-102.06652
19.405246,-102.066518
19.405228,-102.066512
19.405197,-102.066505
19.405175,-102.066493
19.405156,-102.066472
19.405144,-102.066445
19.405137,-102.066406
19.405151,-102.066361
19.40506,-102.06607
19.405015,-102.065991
19.40498,-102.065908
19.404915,-102.065808
19.404854,-102.065698
19.40482,-102.065594
19.404804,-102.065511
19.404797,-102.065448
19.404805,-102.06535
19.404872,-102.065213
19.40494,-102.065113
19.404994,-102.065033
19.405031,-102.064971
19.405048,-102.064917
19.405044,-102.064807
19.405033,-102.0647
19.404995,-102.064584
19.404943,-102.064453
19.404902,-102.064349
19.404838,-102.064266
19.404759,-102.0642
19.40467,-102.064147
19.404539,-102.064086
19.404357,-102.063948
19.404265,-102.063871
19.404123,-102.063741
19.40399,-102.063622
19.403913,-102.063538
19.403801,-102.063424
19.403704,-102.063303
19.403643,-102.063226
19.40365,-102.063163
19.403649,-102.063097
19.403643,-102.063025
19.403616,-102.062823
19.403594,-102.062721
19.403573,-102.062652
19.403539,-102.062585
19.403502,-102.062565
19.403429,-102.062523
19.403353,-102.062471
19.403324,-102.062447
19.403181,-102.062241
19.403155,-102.06219
19.403162,-102.062145
19.403211,-102.061977
19.403255,-102.061826
19.403269,-102.06174
19.403258,-102.061681
19.403232,-102.061631
19.403125,-102.061459
19.403053,-102.061316
19.403026,-102.061226
19.403034,-102.061191
19.403139,-102.061006
19.403167,-102.060949
19.403228,-102.060752
19.403275,-102.060586
19.403332,-102.060383
19.403363,-102.060324
19.403394,-102.060275
19.403473,-102.060171
19.403484,-102.060007
19.403488,-102.059826
19.403472,-102.059642
19.403436,-102.059477
19.403411,-102.059371
19.403405,-102.059339
19.403529,-102.059275
19.403697,-102.059197
19.403849,-102.059122
19.403854,-102.059097
19.403767,-102.058694
19.403694,-102.058423
19.403595,-102.058071
19.403504,-102.057786
19.403353,-102.057194
19.40333,-102.057081
19.403149,-102.056317
19.403101,-102.056133
19.403007,-102.055804
19.402873,-102.055321
19.402837,-102.055224
19.402464,-102.055327
19.401941,-102.055477
19.40171,-102.055546
19.401284,-102.055669
19.401122,-102.05571
19.400696,-102.055851
19.40052,-102.055902
19.399961,-102.056063
19.399438,-102.056215
19.39935,-102.05624
19.399085,-102.056313
19.398755,-102.056403
19.398381,-102.056521
19.398173,-102.056592
19.398029,-102.056626
19.397668,-102.056729
19.39749,-102.056786
19.397053,-102.056906
19.396881,-102.056956
19.396563,-102.057056
19.396298,-102.057134
19.396052,-102.057205
19.396033,-102.057272
19.396019,-102.057304
19.395973,-102.057369
19.395864,-102.057429
19.395801,-102.057446
19.395735,-102.057431
19.395653,-102.057386
19.395606,-102.057338
19.39541,-102.057401
19.394922,-102.057549
19.394155,-102.057747
19.393399,-102.057972
19.393307,-102.057723
19.393224,-102.057377
19.39313,-102.057
19.393011,-102.056525
19.392864,-102.055953
19.392751,-102.055546
19.392598,-102.054956
19.392505,-102.054634
19.392313,-102.053939
19.392282,-102.053692
19.392261,-102.053595
19.392454,-102.053577
19.392732,-102.053557
19.392835,-102.053546
19.393191,-102.053502
19.393289,-102.053483
19.393669,-102.053477
19.393764,-102.053473
19.394063,-102.053501
19.39437,-102.053525
19.394775,-102.053563
19.394855,-102.053579
19.394793,-102.053352
19.394698,-102.053026
19.394644,-102.052841
19.39463,-102.052708
19.394604,-102.052584
19.39452,-102.052207
19.394481,-102.052073
19.394364,-102.051632
19.394343,-102.051562
19.394324,-102.051475
19.394324,-102.051431
19.394326,-102.05129
19.394237,-102.051106
19.394206,-102.051038
19.394144,-102.050813
19.394085,-102.050606
19.393975,-102.050228
19.39389,-102.049902
19.393861,-102.049759
19.393776,-102.049411
19.393691,-102.04906
