Latitude,Longitude
19.427038,-102.033152
19.427797,-102.033324
19.427933,-102.033324
19.428565,-102.033463
19.428806,-102.033526
19.428557,-102.034435
19.428363,-102.035072
19.428111,-102.035844
19.427781,-102.036835
19.427603,-102.037358
19.427401,-102.038017
19.427172,-102.038862
19.427106,-102.039031
19.426753,-102.040187
19.426717,-102.040334
19.426545,-102.040919
19.426458,-102.041284
19.426383,-102.041627
19.426281,-102.041989
19.425969,-102.043024
19.425931,-102.043236
19.425807,-102.043742
19.425716,-102.044109
19.425674,-102.044419
19.425594,-102.045358
19.425602,-102.045677
19.425595,-102.045798
19.425609,-102.046352
19.425636,-102.04679
19.425661,-102.047282
19.425711,-102.047698
19.425759,-102.048141
19.42579,-102.048345
19.425803,-102.048532
19.425843,-102.048972
19.425848,-102.04913
19.425912,-102.049869
19.425934,-102.050084
19.425945,-102.050453
19.425988,-102.050961
19.426,-102.051131
19.426029,-102.051519
19.426081,-102.051957
19.426089,-102.052078
19.426122,-102.052424
19.426156,-102.052806
19.426166,-102.052934
19.426159,-102.052975
19.425068,-102.053088
19.424824,-102.053106
19.42455,-102.053136
19.424213,-102.053169
19.423773,-102.05326
19.423718,-102.053256
19.423678,-102.053264
19.423219,-102.053361
19.422956,-102.053419
19.422795,-102.053464
19.422432,-102.053539
19.422116,-102.053609
19.421937,-102.053645
19.421281,-102.05381
19.421077,-102.053864
19.42037,-102.054031
19.420086,-102.054103
19.419426,-102.054262
19.419284,-102.054296
19.418643,-102.054446
19.418399,-102.054546
19.418151,-102.05465
19.417408,-102.054905
19.41724,-102.054968
19.416707,-102.055111
19.416562,-102.055162
19.416014,-102.055307
19.415835,-102.055373
19.415403,-102.0555
19.415276,-102.055532
19.414856,-102.055676
19.414744,-102.055699
19.414215,-102.055877
19.414087,-102.055928
19.413392,-102.056147
19.413313,-102.056186
19.413326,-102.056233
19.41354,-102.057112
19.41355,-102.057193
19.413395,-102.057247
19.412975,-102.057384
19.412636,-102.057488
19.412533,-102.057525
19.411991,-102.057691
19.411608,-102.057805
19.411536,-102.057818
19.411222,-102.057912
19.410668,-102.058088
19.410567,-102.05812
19.410506,-102.058139
19.410117,-102.058241
19.410054,-102.058263
19.409817,-102.05834
19.409651,-102.058399
19.409578,-102.058422
19.409194,-102.058536
19.409121,-102.05856
19.408706,-102.058684
19.408653,-102.058702
19.408272,-102.058807
19.408219,-102.058827
19.407991,-102.058896
19.407956,-102.058904
19.407938,-102.058932
19.407715,-102.05901
19.407457,-102.059082
19.407178,-102.059162
19.406821,-102.059265
19.406689,-102.059276
19.406615,-102.059272
19.406296,-102.059161
19.406143,-102.059109
19.405934,-102.059034
19.405568,-102.058889
19.405238,-102.058755
19.404998,-102.058668
19.404958,-102.058651
19.404917,-102.058639
19.404885,-102.058635
19.404688,-102.058635
19.40417,-102.058646
19.403883,-102.058651
19.403771,-102.058658
19.403738,-102.058532
19.403624,-102.058166
19.403591,-102.058072
19.40356,-102.057967
19.40349,-102.057681
19.403389,-102.057307
19.403364,-102.057201
19.403335,-102.057112
19.403249,-102.056735
19.403158,-102.056363
19.403129,-102.056236
19.403098,-102.056106
19.403004,-102.055763
19.402881,-102.055349
19.402844,-102.055226
19.402699,-102.055263
19.402071,-102.055436
19.401707,-102.055544
19.401626,-102.055567
19.401262,-102.055671
19.401151,-102.055701
19.401065,-102.05573
19.400528,-102.055899
19.399996,-102.056054
19.399524,-102.056188
19.399351,-102.056243
19.399231,-102.056274
19.398761,-102.056402
19.39869,-102.05642
19.398328,-102.056536
19.398164,-102.056587
19.398098,-102.05661
19.397492,-102.056781
19.397419,-102.056805
19.397,-102.056924
19.396938,-102.05694
19.396572,-102.057052
19.396462,-102.057082
19.396079,-102.057202
19.396049,-102.057212
19.396032,-102.057275
19.395994,-102.057339
19.39596,-102.057383
19.395917,-102.057411
19.395866,-102.057436
19.395796,-102.057442
19.395737,-102.057424
19.395694,-102.057407
19.395654,-102.057386
19.395604,-102.057336
19.395577,-102.057287
19.395558,-102.057223
19.395551,-102.057183
19.395555,-102.057119
19.39559,-102.057024
19.395696,-102.056926
19.395594,-102.056544
19.395449,-102.055957
19.395419,-102.055855
19.395341,-102.055592
19.395253,-102.055253
19.395124,-102.05477
19.395046,-102.054414
19.395018,-102.05427
19.395002,-102.054183
19.394917,-102.053892
19.394895,-102.053777
19.39486,-102.053627
19.394847,-102.053548
19.394767,-102.053264
19.394644,-102.05284
19.394633,-102.052764
19.394623,-102.052679
19.394504,-102.052193
19.394421,-102.051824
19.394392,-102.051702
19.394351,-102.051598
19.394329,-102.051488
19.394322,-102.051384
19.39431,-102.05129
19.394286,-102.051238
19.394201,-102.05107
19.394175,-102.050979
19.394092,-102.050709
19.394015,-102.050428
19.393955,-102.05021
19.393866,-102.049863
19.393806,-102.049601
19.393759,-102.049397
19.393695,-102.049142
19.393671,-102.049024
19.393482,-102.049046
19.393107,-102.049101
19.392962,-102.049126
19.392755,-102.049153
19.392718,-102.049161
19.39265,-102.048762
19.392558,-102.048297
19.392537,-102.048191
19.392599,-102.048156
19.392946,-102.048061
19.393557,-102.047831
19.393761,-102.047762
19.393875,-102.047734
19.39395,-102.047763
19.394158,-102.047919
19.394269,-102.048009
19.394318,-102.048113
19.394413,-102.048455
19.394474,-102.048687
19.394505,-102.048817
19.394494,-102.048862
19.394437,-102.048889
19.394149,-102.048946
19.393718,-102.049018
19.393699,-102.049028
19.393708,-102.049065
19.393759,-102.049314
19.39379,-102.04942
19.393799,-102.049453
19.393882,-102.049795
19.393889,-102.049825
19.393969,-102.050164
19.393988,-102.050233
19.394087,-102.050592
19.394102,-102.050639
19.394217,-102.051027
19.394244,-102.051095
19.394344,-102.051317
19.394402,-102.051427
19.394418,-102.051492
19.394418,-102.051572
19.394461,-102.051642
19.394491,-102.051721
19.3945,-102.051792
19.394568,-102.052101
19.394616,-102.052231
19.39462,-102.052276
19.394647,-102.052412
