Latitude,Longitude
19.384676,-102.016581
19.384807,-102.016615
19.384889,-102.016676
19.385047,-102.016817
19.385208,-102.016945
19.385302,-102.016951
19.385401,-102.01693
19.385759,-102.016731
19.385823,-102.016693
19.386081,-102.016564
19.386164,-102.016517
19.386246,-102.016509
19.386332,-102.016522
19.386417,-102.016566
19.386718,-102.016746
19.386786,-102.016793
19.387175,-102.017004
19.387257,-102.017042
19.387488,-102.017155
19.387583,-102.017161
19.387659,-102.017144
19.387962,-102.017038
19.388031,-102.017017
19.38834,-102.016895
19.388417,-102.016867
19.38861,-102.016795
19.38874,-102.016754
19.388817,-102.016741
19.389301,-102.016667
19.389662,-102.016614
19.390078,-102.016551
19.390453,-102.0165
19.390557,-102.016491
19.390773,-102.016623
19.390913,-102.016714
19.39098,-102.016791
19.391011,-102.016868
19.391045,-102.017043
19.391058,-102.017115
19.391114,-102.017529
19.391121,-102.017612
19.391185,-102.018119
19.391192,-102.018205
19.39126,-102.018773
19.391276,-102.018853
19.391305,-102.019079
19.391348,-102.019378
19.391367,-102.019617
19.391377,-102.019683
19.391415,-102.019925
19.391492,-102.020127
19.391533,-102.02023
19.391698,-102.020592
19.391904,-102.021049
19.391936,-102.021115
19.392198,-102.021692
19.392264,-102.021828
19.392321,-102.021916
19.392647,-102.022379
19.392977,-102.022856
19.393118,-102.023048
19.393661,-102.023874
19.394037,-102.024393
19.394624,-102.025237
19.395113,-102.025936
19.395666,-102.026741
19.396038,-102.027261
19.396542,-102.027996
19.396804,-102.028387
19.396939,-102.028592
19.397059,-102.028822
19.397173,-102.029084
19.397511,-102.029634
19.397986,-102.030373
19.398347,-102.030874
19.398462,-102.031019
19.398804,-102.031509
19.39888,-102.031637
19.398899,-102.031737
19.398889,-102.031897
19.398844,-102.03205
19.398798,-102.032179
19.398775,-102.03227
19.398769,-102.032379
19.398781,-102.032437
19.398826,-102.032767
19.398899,-102.03324
19.398961,-102.033636
19.399001,-102.033876
19.399011,-102.033925
19.39906,-102.034066
19.399082,-102.034142
19.398212,-102.034715
19.396818,-102.035643
19.396069,-102.036099
19.395116,-102.036738
19.394124,-102.037392
19.392859,-102.0382
19.390903,-102.039498
