Latitude,Longitude
19.375146,-102.044901
19.37545,-102.045433
19.375643,-102.045789
19.375818,-102.046062
19.376018,-102.046407
19.376233,-102.046781
19.376464,-102.047285
19.376872,-102.048137
19.377059,-102.048525
19.377079,-102.048559
19.377308,-102.048753
19.377059,-102.049121
19.376663,-102.049693
19.37636,-102.050162
19.37604,-102.05061
19.375654,-102.051125
19.37537,-102.051496
19.375125,-102.051735
19.37466,-102.052106
19.374512,-102.052208
19.373954,-102.052587
19.373915,-102.052608
19.373504,-102.052863
19.372988,-102.0532
19.372499,-102.053552
19.372103,-102.053811
19.37157,-102.054175
19.370957,-102.054574
19.370582,-102.054832
19.37037,-102.055032
19.37082,-102.055392
19.371235,-102.055738
19.371987,-102.056338
19.372566,-102.056757
19.372708,-102.056902
19.373227,-102.057272
19.373695,-102.057634
19.374386,-102.058186
19.375195,-102.058838
19.375823,-102.059302
19.37622,-102.059557
19.376592,-102.059705
19.376967,-102.05979
19.377419,-102.05979
19.37812,-102.059758
19.378495,-102.059731
19.37931,-102.059686
19.379767,-102.059648
19.380537,-102.059599
19.380927,-102.059564
19.381635,-102.059532
19.382241,-102.059487
19.383025,-102.059492
19.383577,-102.059462
19.384236,-102.059446
19.38538,-102.059373
19.38602,-102.059352
19.386597,-102.059298
19.38737,-102.059264
19.388018,-102.059221
19.388435,-102.059154
19.388898,-102.059044
19.389478,-102.058891
19.390002,-102.058771
19.391108,-102.058459
19.392192,-102.058143
19.39327,-102.057861
19.393368,-102.057829
19.393398,-102.057933
19.393412,-102.057982
19.393425,-102.058062
19.393437,-102.058113
19.393473,-102.058246
19.393525,-102.058437
19.393571,-102.058599
19.393635,-102.058832
19.393679,-102.058992
19.393696,-102.059056
19.393752,-102.059257
19.393817,-102.059502
19.393919,-102.059874
19.393931,-102.059918
19.393936,-102.059952
19.393941,-102.060079
19.393944,-102.060156
19.393928,-102.060263
19.39388,-102.060592
19.393868,-102.060675
19.393822,-102.061019
19.39374,-102.061483
19.393704,-102.06166
19.393606,-102.061881
19.393561,-102.061983
19.39355,-102.06202
19.393542,-102.062081
19.393543,-102.062119
19.393547,-102.062177
19.393557,-102.062228
19.393589,-102.06232
19.393626,-102.062384
19.393722,-102.062522
19.393839,-102.062681
19.393887,-102.062755
19.393908,-102.062799
19.394023,-102.063062
19.394087,-102.06319
19.394141,-102.063267
19.394199,-102.063324
19.394281,-102.063385
19.394477,-102.063507
19.394802,-102.063702
19.394897,-102.063779
19.394947,-102.063844
19.395031,-102.063986
19.395171,-102.064545
19.395357,-102.065317
19.395504,-102.06592
19.395632,-102.066428
19.395708,-102.066739
19.395836,-102.067278
19.39597,-102.067817
19.396154,-102.06859
19.396208,-102.068812
19.396215,-102.06885
19.396472,-102.068783
19.396996,-102.068654
19.39721,-102.068589
19.397551,-102.068508
19.397772,-102.06845
19.398143,-102.068348
19.398512,-102.068254
19.399111,-102.068111
19.399541,-102.068027
19.399798,-102.067993
19.399961,-102.068016
19.400095,-102.068064
19.400519,-102.068268
19.400689,-102.068287
19.400788,-102.068268
19.400863,-102.068228
19.40105,-102.068086
19.401464,-102.0678
19.401698,-102.067659
19.40216,-102.067469
19.402313,-102.067387
19.402613,-102.067077
19.402869,-102.066868
19.402947,-102.066805
19.40317,-102.066703
19.403321,-102.066667
19.403747,-102.066613
19.40424,-102.066527
19.404793,-102.066461
19.40505,-102.066437
19.405138,-102.066426
19.405144,-102.06637
19.405184,-102.066327
19.405249,-102.066312
19.405313,-102.066352
19.405361,-102.066398
19.405467,-102.06647
19.405695,-102.066544
19.405945,-102.06661
19.40643,-102.066702
19.406835,-102.06681
19.407157,-102.066841
19.407555,-102.0668
19.407913,-102.066747
19.408246,-102.066691
19.408468,-102.066639
19.408924,-102.066509
19.409517,-102.066381
19.410008,-102.066232
19.41028,-102.066135
19.410776,-102.065986
19.411127,-102.065876
19.411324,-102.065797
19.411708,-102.065685
19.411762,-102.065681
19.411827,-102.065865
19.41193,-102.066267
19.412071,-102.066747
19.412445,-102.066633
19.412989,-102.066434
19.413272,-102.066344
19.413959,-102.066116
19.414231,-102.06603
19.414823,-102.065842
19.415149,-102.065727
19.415632,-102.065584
19.416001,-102.065468
19.416467,-102.065319
19.416912,-102.065176
19.4176,-102.064942
19.417953,-102.064854
19.418157,-102.064775
19.418391,-102.064705
19.418635,-102.064631
19.418957,-102.064526
19.419206,-102.064448
19.419597,-102.064325
19.419814,-102.064248
19.419963,-102.064201
19.420043,-102.064466
19.420119,-102.064727
19.420255,-102.065227
19.420348,-102.065539
19.420449,-102.065893
19.420543,-102.066307
19.420631,-102.066573
19.420749,-102.066919
