Latitude,Longitude
19.427018,-102.033167
19.427363,-102.033239
19.427596,-102.03329
19.427827,-102.033338
19.427931,-102.033315
19.428586,-102.033449
19.42884,-102.033515
19.428707,-102.033905
19.428587,-102.034322
19.428448,-102.034743
19.428304,-102.035268
19.428018,-102.036089
19.427856,-102.036601
19.427598,-102.037387
19.42734,-102.03824
19.427049,-102.039235
19.426652,-102.040555
19.426442,-102.04137
19.426255,-102.042167
19.426025,-102.042856
19.425911,-102.043331
19.425749,-102.04401
19.425668,-102.044337
19.425622,-102.044916
19.4256,-102.045659
19.425595,-102.046126
19.425622,-102.046533
19.425635,-102.04682
19.425673,-102.047175
19.425691,-102.047507
19.425739,-102.047808
19.425779,-102.048191
19.42583,-102.04884
19.425865,-102.049302
19.425875,-102.049674
19.425946,-102.050058
19.425964,-102.050372
19.425999,-102.050973
19.426027,-102.051195
19.426093,-102.051957
19.426139,-102.052534
19.426149,-102.052855
19.426187,-102.053075
19.42626,-102.053518
19.42627,-102.053845
19.426318,-102.054163
19.426419,-102.05459
19.426561,-102.055113
19.426702,-102.055601
19.426839,-102.056035
19.42696,-102.056478
19.427051,-102.056802
19.42717,-102.057202
19.427276,-102.057511
19.427413,-102.057975
19.427527,-102.058377
19.427661,-102.058862
19.427813,-102.059361
19.427952,-102.059718
19.428109,-102.06026
19.428227,-102.060654
19.428319,-102.060979
19.428443,-102.061419
19.428541,-102.0618
19.428635,-102.062071
19.428764,-102.062183
19.428812,-102.062282
19.428837,-102.062425
19.428797,-102.0625
19.428569,-102.062618
19.428319,-102.062704
19.428152,-102.062757
19.427906,-102.06284
19.427714,-102.062891
19.427514,-102.062945
19.427307,-102.063015
19.427011,-102.063103
19.426758,-102.063194
19.426586,-102.063264
19.426396,-102.063339
19.426105,-102.063401
19.425863,-102.063484
19.42562,-102.063554
19.425428,-102.063637
19.425142,-102.063763
19.424934,-102.063835
19.424714,-102.063908
19.424482,-102.063991
19.42421,-102.064084
19.423914,-102.064162
19.423471,-102.064291
19.423112,-102.064387
19.422733,-102.064497
19.422419,-102.064596
19.422186,-102.064682
19.421518,-102.064881
19.421278,-102.064964
19.421154,-102.064537
19.421103,-102.064347
19.421035,-102.064047
19.420977,-102.063891
19.420878,-102.063459
19.420772,-102.063094
19.420686,-102.062834
19.420352,-102.062955
19.420028,-102.06306
19.419753,-102.063143
19.419538,-102.06321
19.419204,-102.063301
19.418746,-102.063473
19.418561,-102.063529
19.418311,-102.063601
19.41801,-102.063714
19.417729,-102.0638
19.417458,-102.063894
19.416937,-102.06406
19.416694,-102.06414
19.416454,-102.064218
19.416052,-102.064363
19.415758,-102.064452
19.415488,-102.064524
19.415139,-102.064642
19.414792,-102.064752
19.414501,-102.064841
19.414086,-102.064985
19.413833,-102.065058
19.413444,-102.065208
19.413117,-102.065323
19.412854,-102.065385
19.41261,-102.065492
19.412337,-102.065559
19.411894,-102.065704
19.411651,-102.065798
19.411368,-102.065902
19.411085,-102.065994
19.410784,-102.066074
19.410442,-102.066195
19.409963,-102.066348
19.409624,-102.066453
19.409419,-102.066514
19.409039,-102.066589
19.408617,-102.066702
19.408311,-102.06677
19.407914,-102.06685
19.407638,-102.066884
19.407461,-102.066919
19.407261,-102.066951
19.407021,-102.066943
19.406601,-102.066841
19.406211,-102.066755
19.405988,-102.066707
19.405697,-102.066607
19.40552,-102.066573
19.405285,-102.066527
19.405105,-102.0665
19.404842,-102.06653
19.404663,-102.066562
19.40444,-102.066597
19.40423,-102.06661
19.404,-102.066658
19.403595,-102.066726
19.403266,-102.066809
19.402973,-102.066924
19.402753,-102.067045
19.402601,-102.067206
19.402419,-102.067388
19.40229,-102.067557
19.402382,-102.067695
19.402515,-102.06795
19.402625,-102.068182
19.402734,-102.06845
19.402873,-102.068635
19.403037,-102.068882
19.403123,-102.069048
19.403208,-102.069248
19.403266,-102.069456
19.403318,-102.069612
19.403371,-102.069723
19.403475,-102.069992
19.403418,-102.070034
19.40338,-102.069964
19.403292,-102.069758
19.403283,-102.06968
19.403289,-102.069605
19.403259,-102.069511
19.403241,-102.069451
19.4032,-102.069321
19.403174,-102.069247
19.403099,-102.069075
19.403049,-102.068956
19.403007,-102.068894
19.402926,-102.068773
19.40282,-102.068626
19.402729,-102.06849
19.402645,-102.068308
19.402554,-102.068096
19.402492,-102.067989
19.402424,-102.067843
19.402309,-102.067623
19.402281,-102.067566
19.402232,-102.06745
19.402334,-102.067357
19.40241,-102.067277
19.402509,-102.067171
19.402635,-102.067051
19.402774,-102.066927
19.402955,-102.066806
19.403106,-102.066738
19.403299,-102.066664
19.403577,-102.066622
19.403814,-102.066594
19.404231,-102.066527
19.404535,-102.066487
19.404775,-102.066441
19.405064,-102.066406
19.405254,-102.066318
19.405443,-102.066455
19.405663,-102.066522
19.406,-102.066607
19.406387,-102.066699
19.406784,-102.066776
19.407196,-102.066822
19.407535,-102.066809
19.407953,-102.066726
19.408302,-102.066677
19.408704,-102.066594
19.409233,-102.06643
19.409519,-102.066374
19.409797,-102.066302
19.41025,-102.066138
19.410936,-102.065948
19.411133,-102.065856
19.411383,-102.065784
19.411778,-102.065663
19.411715,-102.065363
19.411656,-102.065156
19.411606,-102.064974
19.411515,-102.0647
19.411512,-102.064647
19.411791,-102.064564
19.412127,-102.064448
19.412512,-102.064336
19.413073,-102.064137
19.413374,-102.064041
19.41383,-102.063901
19.414141,-102.063807
19.41453,-102.063695
19.414955,-102.063523
19.415314,-102.063408
19.415722,-102.06329
19.416091,-102.06318
19.41641,-102.063048
19.416784,-102.062925
19.417343,-102.062761
19.417733,-102.062592
19.418173,-102.062447
19.418686,-102.062297
19.419053,-102.062176
19.419435,-102.062058
19.419757,-102.061943
19.420255,-102.061814
19.420377,-102.061769
19.420645,-102.061686
19.420814,-102.061635
19.420862,-102.061663
19.420941,-102.061993
19.421032,-102.062341
19.421127,-102.062721
19.421191,-102.062996
19.421275,-102.063337
19.42132,-102.063497
19.421401,-102.063762
19.421457,-102.063927
19.4215,-102.06408
19.421682,-102.064039
19.421807,-102.063999
19.421915,-102.063972
19.422001,-102.063943
19.42213,-102.063919
19.422204,-102.063685
19.422226,-102.063595
19.422241,-102.0635
19.422439,-102.063428
19.422591,-102.063374
19.422791,-102.063314
19.423054,-102.063229
19.423308,-102.063131
19.423513,-102.063054
19.423743,-102.062981
19.424007,-102.062882
19.424204,-102.062819
19.42438,-102.062756
19.424628,-102.062662
19.424929,-102.062581
19.425181,-102.062498
19.425498,-102.062375
19.425862,-102.062246
19.426128,-102.062139
19.426492,-102.062034
19.426811,-102.061938
19.427122,-102.061841
19.427479,-102.06171
19.427802,-102.061613
19.42807,-102.06153
19.428318,-102.061466
19.428235,-102.061128
19.428151,-102.060884
19.428065,-102.060589
19.427977,-102.060323
19.427934,-102.060106
19.427818,-102.059816
19.427724,-102.0595
19.427661,-102.059274
19.427501,-102.05873
19.4274,-102.058378
19.427352,-102.058159
19.427294,-102.057944
19.427119,-102.057424
19.427013,-102.05707
19.426846,-102.056581
19.426672,-102.055981
19.4265,-102.055476
19.426434,-102.05524
19.426292,-102.054806
19.426211,-102.054339
19.426156,-102.053942
19.42612,-102.053636
19.426065,-102.053127
19.426014,-102.052499
19.425979,-102.052059
19.425903,-102.051287
19.425862,-102.050777
19.425862,-102.050552
19.425786,-102.049908
19.425715,-102.049382
19.42566,-102.048803
19.425589,-102.047784
19.425518,-102.047328
19.425498,-102.046668
19.425468,-102.045895
19.425483,-102.045397
19.425513,-102.044876
19.425503,-102.044528
19.425635,-102.043932
19.425776,-102.043363
19.425918,-102.042789
19.426125,-102.041969
19.426292,-102.041245
19.426555,-102.040488
19.426737,-102.039866
19.427,-102.038986
19.427198,-102.038262
19.427375,-102.03765
19.427623,-102.036921
19.428017,-102.035633
19.42824,-102.034877
19.428397,-102.034389
19.428523,-102.033922
