Latitude,Longitude
19.43505,-102.024971
19.434983,-102.025015
19.434911,-102.02505
19.434821,-102.025078
19.434499,-102.025128
19.434361,-102.025124
19.434169,-102.025139
19.433974,-102.025143
19.433634,-102.025156
19.433438,-102.02516
19.433232,-102.025183
19.433076,-102.025196
19.433012,-102.025198
19.432826,-102.025222
19.432726,-102.025234
19.4326,-102.025258
19.432451,-102.025267
19.432279,-102.025267
19.432195,-102.025266
19.432045,-102.025249
19.431954,-102.025402
19.431873,-102.025612
19.431809,-102.025769
19.431752,-102.025866
19.431668,-102.025916
19.431625,-102.02592
19.431482,-102.026245
19.431352,-102.026487
19.431317,-102.026589
19.431195,-102.026827
19.431025,-102.027134
19.430901,-102.027356
19.430772,-102.027627
19.430595,-102.027984
19.430405,-102.028491
19.430203,-102.029086
19.430051,-102.029526
19.429859,-102.030074
19.429641,-102.030806
19.429484,-102.031283
19.429358,-102.031696
19.429259,-102.03208
19.429117,-102.032563
19.429029,-102.032898
19.428897,-102.033375
19.428806,-102.033611
19.428503,-102.033547
19.428151,-102.033483
19.427926,-102.033429
19.427902,-102.033428
19.427843,-102.033381
19.427807,-102.033362
19.427745,-102.033363
19.427696,-102.03335
19.427635,-102.033335
19.427381,-102.033292
19.42721,-102.033252
19.427006,-102.033211
19.427015,-102.033169
19.42724,-102.033211
19.42759,-102.033282
19.427827,-102.033333
19.427911,-102.033311
19.428281,-102.03338
19.42848,-102.033424
19.428635,-102.03346
19.428817,-102.033526
19.42874,-102.033834
19.428629,-102.0342
19.428502,-102.034621
19.428339,-102.035144
19.428238,-102.035474
19.428117,-102.035824
19.427919,-102.036408
19.427807,-102.036754
19.42765,-102.037277
19.42747,-102.037749
19.427384,-102.03813
19.42727,-102.038492
19.427162,-102.03887
19.427028,-102.039366
19.426906,-102.039793
19.42676,-102.040214
19.426615,-102.040613
19.426489,-102.041077
19.426423,-102.041466
19.426302,-102.041895
19.426183,-102.042354
19.426064,-102.042719
19.425925,-102.043207
19.425801,-102.043754
19.425682,-102.04428
19.425652,-102.044639
19.425626,-102.044975
19.425591,-102.045522
19.425591,-102.045903
19.425614,-102.046501
19.425631,-102.047048
19.42569,-102.047402
19.425745,-102.047928
19.425788,-102.048394
19.425854,-102.048909
19.425862,-102.049513
19.42593,-102.050127
19.425993,-102.050916
19.426036,-102.051417
19.426094,-102.051946
19.426132,-102.052388
19.426155,-102.052742
19.42619,-102.05312
19.426223,-102.053493
19.426312,-102.054185
19.4264,-102.054542
19.426514,-102.054928
19.426648,-102.055518
19.426795,-102.055899
19.426909,-102.056345
19.42703,-102.056715
19.427162,-102.057173
19.427298,-102.057603
19.42745,-102.058131
19.427652,-102.058724
19.427814,-102.059292
19.427948,-102.059714
19.428143,-102.060328
19.428262,-102.060811
19.428409,-102.061248
19.428495,-102.06161
19.428598,-102.061948
19.428664,-102.062085
19.428755,-102.062152
19.428798,-102.062248
19.428851,-102.062388
19.428826,-102.062479
19.428773,-102.062516
19.428538,-102.062629
19.428325,-102.062715
19.428166,-102.062761
19.427941,-102.06283
19.427635,-102.062913
19.427354,-102.063007
19.42698,-102.063131
19.426648,-102.063265
19.426405,-102.063321
19.426077,-102.063431
19.425796,-102.063517
19.425497,-102.063622
19.425368,-102.063667
19.425168,-102.063764
19.425017,-102.063809
19.424766,-102.06389
19.424529,-102.063973
19.424308,-102.064045
19.424035,-102.064123
19.42379,-102.064206
19.423527,-102.064295
19.423408,-102.064316
19.423327,-102.064327
19.423135,-102.064375
19.422758,-102.064507
19.422439,-102.064595
19.422176,-102.064682
19.421956,-102.064762
19.421766,-102.064821
19.421594,-102.064864
19.42128,-102.064939
19.421202,-102.064757
19.421146,-102.064555
19.421075,-102.064282
19.42101,-102.064051
19.420911,-102.063665
19.420833,-102.063279
19.420736,-102.062882
19.420721,-102.062831
19.420549,-102.062906
19.420319,-102.062962
19.420102,-102.063032
19.419844,-102.063126
19.419626,-102.063182
19.419345,-102.063271
19.419095,-102.06337
19.418862,-102.063442
19.418589,-102.063534
19.418331,-102.06359
19.417992,-102.063705
