Latitude,Longitude
19.411514,-102.034672
19.411614,-102.035064
19.411697,-102.035366
19.411779,-102.035663
19.411829,-102.035844
19.411922,-102.036187
19.411998,-102.03645
19.41206,-102.036685
19.412159,-102.037108
19.412236,-102.037384
19.412302,-102.037689
19.412404,-102.037948
19.412057,-102.038068
19.411699,-102.038196
19.411462,-102.038277
19.411413,-102.038296
19.411193,-102.038294
19.410962,-102.038355
19.410751,-102.038399
19.41058,-102.03843
19.410346,-102.03851
19.410069,-102.03858
19.409863,-102.03865
19.409646,-102.038712
19.409427,-102.038762
19.409182,-102.03886
19.409153,-102.038881
19.409182,-102.039022
19.408923,-102.039135
19.408721,-102.039235
19.408462,-102.039353
19.408281,-102.039438
19.408062,-102.039545
19.407828,-102.039659
19.407568,-102.039784
19.407476,-102.039836
19.407634,-102.040161
19.407779,-102.040493
19.407868,-102.040698
19.407989,-102.041011
19.408145,-102.041416
19.408214,-102.041558
19.408083,-102.041618
19.407863,-102.041688
19.407716,-102.04176
19.407458,-102.041865
19.407326,-102.041925
19.407035,-102.042035
19.406777,-102.042141
19.406562,-102.042234
19.406318,-102.042324
19.406034,-102.042441
19.405843,-102.042509
19.405739,-102.04256
19.405833,-102.042831
19.405935,-102.043073
19.406058,-102.043397
19.406189,-102.043686
19.406264,-102.043934
19.406351,-102.044156
19.406449,-102.044407
19.406517,-102.044602
19.40668,-102.044929
19.406832,-102.045265
19.406909,-102.045437
19.407048,-102.045779
19.407209,-102.046197
19.407385,-102.046594
19.407486,-102.046889
19.407631,-102.047254
19.407729,-102.047565
19.407823,-102.047863
19.407813,-102.047921
19.407842,-102.048016
19.407882,-102.048179
19.407923,-102.048339
19.407959,-102.0485
19.407981,-102.048575
19.408015,-102.048732
19.408059,-102.0489
19.408113,-102.049116
19.408182,-102.049382
19.408238,-102.049592
19.408287,-102.049798
19.408341,-102.049994
19.408378,-102.050159
19.408419,-102.050322
19.408446,-102.050441
19.408498,-102.050598
19.40855,-102.05075
19.408591,-102.05088
19.408633,-102.051009
19.408694,-102.051202
19.408741,-102.05135
19.408793,-102.051522
19.408845,-102.051692
19.408897,-102.051862
19.40893,-102.051992
19.408963,-102.052104
19.409001,-102.052262
19.409036,-102.052383
19.409077,-102.052527
19.409112,-102.052635
19.409164,-102.0528
19.409198,-102.052938
19.409237,-102.053066
19.409289,-102.053099
19.409656,-102.053002
19.409919,-102.052938
19.410193,-102.052858
19.410295,-102.052829
19.41038,-102.053181
19.410447,-102.053452
19.410507,-102.053703
19.410565,-102.053947
19.410616,-102.054135
19.410685,-102.05436
19.41073,-102.054548
19.410777,-102.054753
19.410825,-102.0549
19.410862,-102.055074
19.41093,-102.055319
19.410987,-102.055584
19.41104,-102.055767
19.411107,-102.055997
19.411156,-102.056225
19.411283,-102.056725
19.411339,-102.056931
19.41142,-102.057266
19.411542,-102.057703
19.411566,-102.057772
19.41175,-102.057709
19.411944,-102.057649
19.412194,-102.057578
19.412423,-102.057499
19.41265,-102.057433
19.412987,-102.057325
19.413236,-102.057248
19.413503,-102.05717
19.413774,-102.057075
19.414053,-102.05699
19.414261,-102.056912
19.414477,-102.056837
19.414635,-102.05679
19.414815,-102.056741
19.415001,-102.056678
19.415183,-102.05662
19.415379,-102.056561
19.415594,-102.056506
19.415732,-102.056473
19.415913,-102.05642
19.416066,-102.056383
19.416204,-102.05633
19.416402,-102.056285
19.416583,-102.056247
19.416724,-102.056205
19.416894,-102.056159
19.417109,-102.056092
19.417305,-102.056035
19.417539,-102.055968
19.417598,-102.055959
19.417662,-102.056166
19.417716,-102.056345
19.417782,-102.056579
19.41785,-102.056805
19.417902,-102.057005
19.417972,-102.057226
19.41804,-102.057459
19.418112,-102.057683
19.418184,-102.057993
19.418276,-102.058322
19.418339,-102.058554
19.418397,-102.058774
19.418476,-102.059069
19.418555,-102.059336
19.418644,-102.059663
19.418729,-102.059937
19.418783,-102.060146
19.418848,-102.060405
19.418918,-102.060599
19.419011,-102.060947
19.419082,-102.061188
19.419161,-102.061462
19.41926,-102.06182
19.419333,-102.061999
19.419359,-102.062071
19.419549,-102.062015
19.419741,-102.061965
19.419924,-102.06191
19.420301,-102.061802
19.420542,-102.061729
19.420755,-102.061649
19.420841,-102.061633
19.420914,-102.061877
19.420989,-102.062211
19.421045,-102.062412
19.421114,-102.062682
19.421183,-102.063003
19.421273,-102.063331
19.421372,-102.063655
19.421455,-102.063938
19.421498,-102.064075
19.421706,-102.064028
19.421883,-102.063984
19.422124,-102.063925
19.422124,-102.064004
19.422195,-102.064197
19.422329,-102.064614
19.42241,-102.064867
19.422474,-102.065114
19.422538,-102.065335
19.422591,-102.065493
19.42263,-102.065665
19.422667,-102.065744
19.422903,-102.065673
19.423121,-102.065599
19.423323,-102.065548
19.42349,-102.065485
19.423715,-102.065419
19.423781,-102.065622
19.423861,-102.065934
19.423938,-102.066197
19.423991,-102.066427
19.424067,-102.066604
19.424153,-102.066911
19.424245,-102.067207
19.424332,-102.067501
19.424413,-102.067821
19.424493,-102.068108
19.424579,-102.068438
19.424628,-102.068633
19.424723,-102.068931
19.424792,-102.06918
19.424899,-102.069553
19.424962,-102.069776
19.425038,-102.070075
19.425093,-102.070272
19.42515,-102.070477
19.425203,-102.070673
19.425288,-102.070988
19.425364,-102.07125
19.425418,-102.071435
19.425444,-102.071519
19.425469,-102.071552
19.425599,-102.071607
19.425707,-102.071654
19.425819,-102.071701
19.425938,-102.071755
19.426072,-102.07181
19.426214,-102.071878
19.426332,-102.071927
19.42649,-102.071993
19.426641,-102.072067
19.426816,-102.072143
19.426901,-102.072177
19.427049,-102.072244
19.427249,-102.07233
19.427413,-102.072405
19.427505,-102.072448
19.427702,-102.072531
19.427968,-102.072635
19.428255,-102.072746
19.42842,-102.072808
19.428588,-102.072888
19.428695,-102.072936
19.428788,-102.072966
19.428946,-102.072989
19.42903,-102.072997
19.42918,-102.072984
19.429211,-102.072979
19.429299,-102.07292
19.429405,-102.072839
19.429469,-102.072796
19.429576,-102.072731
19.429674,-102.072677
19.429779,-102.072615
19.429881,-102.072557
19.429956,-102.072523
19.430093,-102.072469
19.430238,-102.072406
19.430346,-102.072362
19.430451,-102.072326
19.430555,-102.072301
19.43068,-102.07227
19.430757,-102.072266
19.430876,-102.072263
19.430995,-102.072262
19.43111,-102.072283
19.431277,-102.072316
19.431385,-102.072338
19.4315,-102.07239
19.431567,-102.072426
19.431664,-102.072484
19.431851,-102.072647
19.431965,-102.072754
19.432046,-102.072869
19.432161,-102.073064
19.432286,-102.073272
19.432381,-102.073427
19.432507,-102.073653
19.432623,-102.073864
19.432716,-102.074025
19.432786,-102.074161
19.432894,-102.074369
19.43292,-102.074422
19.433036,-102.074487
19.433113,-102.07453
19.433203,-102.07458
19.43329,-102.074569
19.43339,-102.074589
19.433437,-102.07464
19.433474,-102.074709
19.433483,-102.07478
19.433471,-102.074839
19.433462,-102.07488
19.433418,-102.07492
19.433349,-102.074953
19.433265,-102.074957
19.433178,-102.074921
19.433083,-102.074952
19.432992,-102.075033
19.432856,-102.075188
19.432715,-102.075326
19.432577,-102.075448
19.432424,-102.075586
19.43229,-102.075717
19.432206,-102.075789
19.43205,-102.075895
19.431931,-102.075957
19.431771,-102.075987
19.431663,-102.076
19.43157,-102.075953
19.431414,-102.075829
19.431251,-102.075735
19.431169,-102.075916
19.431096,-102.076079
19.431016,-102.07626
19.430967,-102.076378
19.430972,-102.076621
19.430944,-102.076959
19.430888,-102.077192
19.430815,-102.077361
19.430714,-102.077656
19.430653,-102.077865
19.430582,-102.078136
19.430539,-102.078295
19.430479,-102.078504
19.430421,-102.078705
19.430403,-102.078734
19.430206,-102.078748
19.429985,-102.078753
19.429793,-102.078756
19.429671,-102.07876
19.429511,-102.078767
19.429363,-102.078764
19.429149,-102.078776
19.428997,-102.078781
19.428795,-102.078788
19.428654,-102.078791
19.428466,-102.078802
19.428322,-102.078803
19.428229,-102.078803
19.428118,-102.078807
19.427933,-102.078811
19.427791,-102.078815
19.427637,-102.07882
19.427473,-102.078826
19.427292,-102.078823
19.427148,-102.078836
19.426977,-102.07883
19.426813,-102.07884
19.426673,-102.078842
19.426523,-102.078846
19.426351,-102.078852
19.426211,-102.078859
19.42604,-102.078861
19.425915,-102.078865
19.425451,-102.078873
19.4252,-102.078877
19.425037,-102.078881
19.424792,-102.078886
19.424654,-102.078891
19.424456,-102.078895
19.424226,-102.078894
19.42401,-102.078899
19.423769,-102.078902
19.423522,-102.078904
19.423312,-102.078904
19.423209,-102.078909
19.423036,-102.078913
19.422808,-102.078919
19.422578,-102.07892
19.422309,-102.078931
19.422127,-102.078934
19.421897,-102.078936
19.421653,-102.07895
19.421445,-102.078947
19.421362,-102.078953
19.421365,-102.078903
19.421556,-102.078905
19.421826,-102.078898
19.42211,-102.078901
19.422321,-102.078889
19.422687,-102.078881
19.423037,-102.078871
19.423339,-102.078868
19.423633,-102.078864
19.423869,-102.078861
19.424148,-102.078852
19.424533,-102.078853
19.424852,-102.078848
19.425126,-102.078851
19.425488,-102.078833
19.425746,-102.078828
19.426194,-102.078822
19.426534,-102.078808
19.426897,-102.078796
19.427155,-102.078794
19.427449,-102.078783
19.427808,-102.078775
19.428081,-102.078772
19.428433,-102.078767
19.428649,-102.078757
19.429046,-102.078743
19.429354,-102.078724
19.429683,-102.078717
19.430016,-102.078709
19.430316,-102.078704
19.430368,-102.078696
19.430374,-102.078633
19.430403,-102.078537
19.430458,-102.078334
19.430516,-102.078102
19.43054,-102.077997
19.430573,-102.077847
19.430621,-102.077689
19.430683,-102.077514
19.430758,-102.077348
19.430841,-102.077121
19.430874,-102.076967
19.430899,-102.076586
19.430903,-102.076461
19.430952,-102.076262
19.43101,-102.076105
19.431043,-102.076004
19.431102,-102.075901
19.431152,-102.075786
19.431225,-102.075602
19.431243,-102.07557
19.431386,-102.075647
19.431497,-102.075729
19.431609,-102.0758
19.43175,-102.07584
19.431843,-102.075822
19.431912,-102.075778
19.432085,-102.07566
19.432189,-102.075566
19.432363,-102.075432
19.432464,-102.075348
19.432611,-102.075212
19.432745,-102.075092
19.432845,-102.07497
19.432902,-102.074923
19.432988,-102.07483
19.433103,-102.074772
19.433117,-102.074723
19.433046,-102.074691
19.432999,-102.074634
19.432932,-102.074503
19.432907,-102.074448
19.432855,-102.074357
19.432712,-102.074082
19.432613,-102.073902
19.432509,-102.073721
19.432409,-102.073541
19.432178,-102.07315
19.432033,-102.072901
19.431878,-102.072709
19.431683,-102.072533
19.431593,-102.072477
19.43142,-102.072381
19.431262,-102.072344
19.431171,-102.072324
19.431042,-102.072299
19.430874,-102.072291
19.430697,-102.072301
19.430584,-102.072327
19.430449,-102.072363
19.430322,-102.072402
19.430227,-102.072442
19.430015,-102.072533
19.429809,-102.072632
19.429676,-102.072708
19.429482,-102.07282
19.429351,-102.072916
19.429239,-102.072999
19.429117,-102.073021
19.429056,-102.073028
19.428867,-102.073013
19.428748,-102.072984
19.428558,-102.072912
19.428403,-102.07284
19.428295,-102.072791
19.428139,-102.072733
19.427907,-102.072649
19.427737,-102.07258
19.427563,-102.072505
19.427364,-102.072417
19.427204,-102.072345
19.42706,-102.072283
19.426906,-102.072212
19.426611,-102.072085
19.426406,-102.071991
19.426224,-102.071913
19.426052,-102.071837
19.425873,-102.071757
19.425676,-102.071673
19.425492,-102.071591
19.425367,-102.071533
19.425273,-102.071484
19.425179,-102.071438
19.425116,-102.071401
19.425012,-102.07134
19.424903,-102.071291
19.424774,-102.071232
19.424619,-102.071169
19.424435,-102.071086
19.424337,-102.071047
19.424284,-102.07103
19.42425,-102.071026
19.424164,-102.071057
19.424027,-102.071097
19.423849,-102.071155
19.423569,-102.07125
19.42336,-102.071321
19.423166,-102.071381
19.423128,-102.071386
19.423107,-102.071329
19.423058,-102.071142
19.422972,-102.070841
19.422885,-102.070543
19.422806,-102.070299
19.422667,-102.069837
19.422552,-102.069415
19.422478,-102.069152
19.422392,-102.06888
19.422304,-102.068543
19.422209,-102.068245
19.422145,-102.068006
19.422073,-102.067747
19.422017,-102.067565
19.421896,-102.067143
19.421818,-102.066853
19.421754,-102.066621
19.421676,-102.06635
19.421605,-102.06609
19.421561,-102.065934
19.421471,-102.06562
19.421419,-102.065444
19.421364,-102.065254
19.421304,-102.06505
19.421199,-102.064663
19.421134,-102.06442
19.421058,-102.064133
19.42102,-102.063968
19.420969,-102.063786
19.420896,-102.063547
19.420833,-102.063342
19.420776,-102.063066
19.420707,-102.062828
19.420528,-102.062874
19.420268,-102.06295
19.42009,-102.063019
19.419911,-102.06308
19.419699,-102.063147
19.419528,-102.063206
19.419337,-102.063259
19.41904,-102.063363
19.418755,-102.063468
19.41856,-102.063528
19.418337,-102.063587
19.418113,-102.063661
19.417918,-102.063727
19.417661,-102.063807
19.41739,-102.063889
19.417155,-102.063965
19.416944,-102.064039
19.416729,-102.064092
19.416608,-102.063744
19.4165,-102.063415
19.416411,-102.063154
19.416348,-102.062943
19.416261,-102.062633
19.416163,-102.06234
19.416075,-102.062061
19.415953,-102.061655
19.415773,-102.061089
19.415669,-102.060762
19.415545,-102.060359
19.415469,-102.060108
19.41538,-102.059821
19.41532,-102.059595
19.41524,-102.059319
19.41514,-102.058998
19.415022,-102.058626
19.414923,-102.058281
19.414844,-102.058032
19.414738,-102.057621
19.414665,-102.057334
19.414596,-102.057089
19.414537,-102.056905
19.414525,-102.056879
19.414317,-102.056936
19.414107,-102.057019
19.413752,-102.057131
19.413627,-102.057173
19.413055,-102.057354
19.412608,-102.057502
19.412497,-102.057531
19.412358,-102.057575
19.412178,-102.057633
19.411934,-102.057714
19.411621,-102.05781
19.41135,-102.057891
19.411135,-102.057944
19.410915,-102.058014
19.41069,-102.058092
19.410563,-102.058132
19.410462,-102.057797
19.410406,-102.057566
19.410328,-102.057278
19.410232,-102.056928
19.410165,-102.056612
19.410037,-102.056217
19.409945,-102.055867
19.409852,-102.055548
19.409784,-102.055279
19.409678,-102.054931
19.409593,-102.05455
19.409527,-102.054329
19.409455,-102.054048
19.409378,-102.053681
19.409302,-102.053418
19.409279,-102.053304
19.409229,-102.053115
19.409201,-102.053008
19.409132,-102.052773
19.409069,-102.05258
19.409007,-102.052348
19.408946,-102.052151
19.408888,-102.051925
19.40887,-102.051866
19.408837,-102.051733
19.408775,-102.051531
19.40872,-102.051344
19.40861,-102.051007
19.408546,-102.050824
19.408487,-102.050638
19.408424,-102.050447
19.40841,-102.050392
19.408324,-102.050033
19.408267,-102.049817
19.408245,-102.049716
19.408204,-102.04957
19.408192,-102.049507
19.408126,-102.049249
19.408052,-102.048958
19.408002,-102.048777
19.407971,-102.04864
19.40792,-102.04845
19.407863,-102.048212
19.407808,-102.048001
19.407794,-102.047931
19.407748,-102.047894
