Latitude,Longitude
19.435219,-102.052611
19.434812,-102.053038
19.434748,-102.053108
19.434301,-102.053478
19.434172,-102.053548
19.434068,-102.053572
19.43378,-102.053558
19.433556,-102.053511
19.433401,-102.053474
19.433321,-102.053482
19.433232,-102.053506
19.433063,-102.05356
19.432923,-102.053624
19.432663,-102.053745
19.432405,-102.053852
19.432005,-102.054034
19.431181,-102.054391
19.431099,-102.054429
19.430307,-102.054738
19.430226,-102.054773
19.429511,-102.055062
19.429318,-102.055135
19.428896,-102.055304
19.428671,-102.055347
19.428322,-102.055403
19.427917,-102.05539
19.427414,-102.055309
19.427024,-102.055234
19.426607,-102.055167
19.426771,-102.055725
19.426915,-102.05617
19.427072,-102.056763
19.427189,-102.057187
19.427229,-102.057318
19.427444,-102.057991
19.427634,-102.05863
19.427851,-102.059349
19.428124,-102.06025
19.428317,-102.060915
19.428425,-102.061253
19.42858,-102.061797
19.428638,-102.062079
19.428759,-102.062186
19.42884,-102.062387
19.428785,-102.062516
19.428704,-102.062559
19.428602,-102.062609
19.428288,-102.062721
19.428242,-102.062744
19.427989,-102.062815
19.427828,-102.062865
19.427514,-102.062957
19.42736,-102.063007
19.427148,-102.06307
19.426838,-102.063188
19.426555,-102.06329
19.42644,-102.06333
19.426268,-102.063381
19.426102,-102.063424
19.425878,-102.063493
19.42554,-102.063599
19.425459,-102.063631
19.425214,-102.063756
19.42509,-102.063796
19.424779,-102.063901
19.424468,-102.064003
19.423429,-102.064338
19.422963,-102.064446
19.422397,-102.064606
19.421813,-102.064802
19.421318,-102.064942
19.421292,-102.064948
19.421249,-102.064908
19.421153,-102.064576
19.421102,-102.064405
19.421024,-102.064069
19.420991,-102.063994
19.421026,-102.063895
19.420982,-102.063737
19.420901,-102.063428
19.42082,-102.063117
19.420747,-102.062897
19.420734,-102.062843
19.420481,-102.062932
19.420244,-102.06301
19.419753,-102.063165
19.419667,-102.063192
19.419543,-102.063227
19.419391,-102.063275
19.419288,-102.063307
19.419017,-102.063396
19.418713,-102.063501
19.418617,-102.063511
19.418377,-102.063592
19.41825,-102.063643
19.418121,-102.06368
19.417861,-102.063761
19.417679,-102.063828
19.41738,-102.063927
19.416955,-102.064064
19.416551,-102.064195
19.41609,-102.06434
19.415739,-102.064458
19.415281,-102.064611
19.414762,-102.064774
19.414514,-102.06486
19.414271,-102.064927
19.413758,-102.065072
19.413892,-102.065555
19.414018,-102.066046
19.4141,-102.066328
19.414237,-102.066792
19.414333,-102.06713
19.414383,-102.067299
19.414535,-102.067779
19.414666,-102.068284
19.414881,-102.068225
19.415177,-102.068129
19.415617,-102.067989
19.415711,-102.068024
19.415875,-102.068569
19.41605,-102.069188
19.416166,-102.069553
19.416293,-102.069985
19.41633,-102.070094
19.416421,-102.070419
19.41652,-102.070762
19.416598,-102.071055
19.416659,-102.071272
19.41674,-102.0715
19.416793,-102.071736
19.416869,-102.072034
19.416894,-102.072093
19.417279,-102.071956
19.417385,-102.071916
19.417774,-102.071824
19.417967,-102.071765
19.418111,-102.071739
19.41827,-102.07168
19.418475,-102.071623
19.418877,-102.071495
19.418965,-102.071466
19.419061,-102.071814
19.419129,-102.07205
19.419192,-102.072268
19.419273,-102.072501
19.419319,-102.072705
19.41938,-102.072914
19.419415,-102.073
19.419443,-102.073131
19.419481,-102.073217
19.419628,-102.073515
19.419676,-102.073622
19.419784,-102.073928
19.419868,-102.074287
19.419906,-102.074384
19.419986,-102.074709
19.420016,-102.074784
19.420087,-102.074931
19.420168,-102.075023
19.420292,-102.075149
19.420439,-102.075307
19.42058,-102.075599
19.420611,-102.075693
19.420737,-102.076004
19.420775,-102.076088
19.420972,-102.076425
19.421025,-102.076596
19.421063,-102.076993
19.421116,-102.077109
19.421116,-102.077227
19.421136,-102.077377
19.421187,-102.077688
19.421235,-102.077991
19.421283,-102.078257
19.421336,-102.078654
19.421374,-102.078906
19.421374,-102.079
19.421485,-102.079617
19.421523,-102.079901
19.421546,-102.080175
19.421564,-102.0803
19.421624,-102.080772
19.421675,-102.081166
19.421709,-102.081403
19.421653,-102.081435
19.421595,-102.081371
19.42156,-102.081293
19.421545,-102.08117
19.421496,-102.080837
19.421481,-102.080751
19.421372,-102.079821
19.42131,-102.079491
19.42126,-102.079277
19.421166,-102.078751
19.421158,-102.078555
19.421219,-102.078408
19.42109,-102.077573
19.421052,-102.077319
19.421027,-102.077254
19.420954,-102.077195
19.420954,-102.077139
19.420989,-102.077007
19.420938,-102.076562
19.420911,-102.076439
19.420819,-102.076278
19.420718,-102.076098
19.420592,-102.075841
19.420577,-102.075733
19.42046,-102.075454
19.4204,-102.075369
19.420139,-102.07509
19.420081,-102.075012
19.419906,-102.074616
19.419822,-102.074316
19.419744,-102.073973
19.419623,-102.073667
19.419509,-102.073415
19.419456,-102.073315
19.419367,-102.073034
19.419251,-102.072634
19.419091,-102.072111
19.419,-102.071738
19.418937,-102.071524
19.418823,-102.071567
19.418489,-102.071669
19.418386,-102.071706
19.418125,-102.071776
19.418004,-102.071819
19.417796,-102.071921
19.417665,-102.071948
19.417412,-102.072033
19.416949,-102.072181
19.416832,-102.072207
19.416845,-102.072049
19.416775,-102.071779
19.416705,-102.071487
19.416676,-102.071419
19.416582,-102.071112
19.41652,-102.070885
19.41642,-102.070535
19.416334,-102.070222
19.416207,-102.069817
19.416145,-102.0696
19.416,-102.069135
19.415967,-102.069006
19.415942,-102.068926
19.415887,-102.068734
19.415827,-102.068541
19.415805,-102.068455
19.415765,-102.068333
19.415703,-102.068121
19.415663,-102.068011
19.415623,-102.067843
19.415556,-102.067639
19.415507,-102.067457
19.415453,-102.067309
19.415411,-102.067146
19.415372,-102.067006
19.415333,-102.06688
19.415318,-102.06682
19.415242,-102.066548
19.41518,-102.066361
19.415138,-102.066207
19.415113,-102.06612
19.415077,-102.065987
19.415044,-102.065885
19.415023,-102.065783
19.415147,-102.065743
19.415273,-102.065704
19.415416,-102.065656
19.415629,-102.065577
19.415756,-102.065544
19.415883,-102.0655
19.416011,-102.065449
19.416476,-102.065296
19.416807,-102.065194
19.417262,-102.065041
19.41764,-102.064923
19.417968,-102.064842
19.417993,-102.064821
19.41814,-102.064791
19.418334,-102.064721
19.418534,-102.06466
19.418938,-102.064528
19.419006,-102.064514
19.419217,-102.06444
19.419551,-102.064325
19.419941,-102.06421
19.420268,-102.064096
19.420495,-102.064038
19.420709,-102.063963
19.420967,-102.063888
19.421002,-102.063868
19.420948,-102.063686
19.420882,-102.06347
19.42082,-102.063236
19.42077,-102.063024
19.420727,-102.062875
19.420698,-102.06275
19.420668,-102.062731
19.420623,-102.06259
19.420574,-102.062433
19.420537,-102.062322
19.420494,-102.06217
19.420442,-102.061954
19.420404,-102.061836
19.420364,-102.061711
19.420237,-102.061341
19.42007,-102.060794
19.419964,-102.060349
19.419833,-102.059839
19.419721,-102.059469
19.419622,-102.059138
19.41948,-102.058719
19.419369,-102.058231
19.41924,-102.057808
19.419108,-102.057341
19.418992,-102.056971
19.418961,-102.056861
19.418901,-102.056639
19.418785,-102.056183
19.418648,-102.055706
19.418648,-102.055631
19.419559,-102.055313
19.419875,-102.055214
19.42017,-102.055121
19.420625,-102.05496
19.421281,-102.054757
19.421677,-102.054665
19.422049,-102.054639
19.422453,-102.054625
19.422962,-102.054647
19.423792,-102.054642
19.424382,-102.054634
19.425048,-102.054752
19.425723,-102.054913
19.426234,-102.055047
19.426631,-102.055125
19.426896,-102.055169
19.427352,-102.055252
19.42781,-102.055319
19.428204,-102.055359
19.428584,-102.055316
19.428902,-102.055241
19.429358,-102.055059
19.429752,-102.054922
19.430202,-102.054734
19.430399,-102.054657
19.431082,-102.054389
19.43123,-102.054329
19.431918,-102.054032
19.43207,-102.053962
19.432439,-102.053796
19.432811,-102.053629
19.43307,-102.053503
19.433402,-102.053428
19.433844,-102.053533
19.434178,-102.053498
19.434421,-102.053321
19.434755,-102.053026
19.434862,-102.052932
19.435193,-102.052589
