Latitude,Longitude
19.376529,-102.079603
19.377392,-102.0793
19.377879,-102.079125
19.378732,-102.078823
19.379236,-102.078646
19.379719,-102.078476
19.380079,-102.078347
19.380354,-102.078167
19.380653,-102.077883
19.380818,-102.077706
19.380919,-102.077698
19.381187,-102.077355
19.381481,-102.077017
19.381822,-102.076853
19.382141,-102.076706
19.382417,-102.076548
19.382586,-102.076416
19.382868,-102.076058
19.383209,-102.075621
19.383558,-102.075106
19.384003,-102.07444
19.38459,-102.073523
19.384917,-102.072938
19.385175,-102.072461
19.385334,-102.072222
19.385513,-102.072048
19.385718,-102.071959
19.386034,-102.0719
19.386227,-102.071814
19.386542,-102.071488
19.386754,-102.071285
19.386957,-102.07107
19.387227,-102.07085
19.387475,-102.070692
19.388069,-102.070557
19.388512,-102.07045
19.389199,-102.070294
19.389685,-102.07019
19.390037,-102.07009
19.390536,-102.06997
19.391272,-102.069827
19.391763,-102.069709
19.392312,-102.069589
19.392762,-102.069469
19.393342,-102.069364
19.393677,-102.069316
19.394076,-102.0693
19.394486,-102.069241
19.394943,-102.069179
19.395224,-102.069109
19.395935,-102.068903
19.396313,-102.068801
19.397073,-102.068604
19.39767,-102.068452
19.39855,-102.068224
19.399066,-102.068122
19.39957,-102.068004
19.399914,-102.068004
19.400417,-102.068229
19.400612,-102.068293
19.400784,-102.068272
19.400919,-102.068191
19.401327,-102.067874
19.401671,-102.067681
19.401956,-102.067565
19.402183,-102.067471
19.402315,-102.067372
19.402606,-102.067098
19.402935,-102.066838
19.403029,-102.066763
19.403148,-102.06672
19.403431,-102.066661
19.40379,-102.0666
19.4042,-102.066544
19.404526,-102.066485
19.405128,-102.066428
19.405166,-102.066358
19.405217,-102.066316
19.405311,-102.066348
19.405417,-102.066444
19.405566,-102.066498
19.40594,-102.066582
19.406452,-102.066708
19.406899,-102.066794
19.407287,-102.066846
19.407548,-102.066811
19.407933,-102.066738
19.408234,-102.066679
19.408607,-102.066591
19.409201,-102.066427
19.409909,-102.066239
19.41042,-102.066081
19.410927,-102.065938
19.411398,-102.065777
19.411765,-102.065659
19.411618,-102.065077
19.411504,-102.064656
19.411827,-102.064547
19.412406,-102.064359
19.412718,-102.064255
19.413313,-102.064056
19.413656,-102.063943
19.414223,-102.063761
19.414585,-102.063621
19.415152,-102.063452
19.415645,-102.063297
19.416262,-102.06312
19.416584,-102.063
19.41726,-102.062761
19.417679,-102.062606
19.418247,-102.062423
19.418685,-102.062299
19.419182,-102.062127
19.419756,-102.061955
19.420138,-102.061845
19.42049,-102.06174
19.420742,-102.061653
19.420849,-102.061625
19.420946,-102.061996
19.421088,-102.062585
19.421174,-102.062993
19.421265,-102.063331
19.42135,-102.063605
19.421456,-102.063911
19.421502,-102.06408
19.421671,-102.064045
19.421866,-102.063986
19.422127,-102.063935
19.422235,-102.063604
19.422233,-102.063502
19.422342,-102.063465
19.4226,-102.063366
19.422959,-102.06325
19.42327,-102.063143
19.42368,-102.063004
19.423981,-102.062899
19.424383,-102.062759
19.42496,-102.062542
19.425398,-102.062402
19.425872,-102.062223
19.426256,-102.062097
19.426848,-102.061917
19.427338,-102.061772
19.427758,-102.061616
19.428066,-102.061544
19.428245,-102.061485
19.428351,-102.061458
19.42825,-102.061139
19.428055,-102.060586
19.427934,-102.060127
19.427807,-102.059787
19.427727,-102.059468
19.427638,-102.059166
19.427494,-102.058718
19.42736,-102.058246
19.427337,-102.058107
19.427464,-102.057993
19.42777,-102.057847
19.428096,-102.0577
19.428254,-102.057629
19.428461,-102.057527
19.428686,-102.05743
19.42895,-102.057308
19.429151,-102.057216
19.429577,-102.057009
19.429708,-102.056949
19.430002,-102.056806
19.43025,-102.056683
19.430472,-102.05658
19.430716,-102.056477
19.430935,-102.056376
19.431174,-102.056265
19.431462,-102.056148
19.431676,-102.056053
19.431957,-102.055913
19.432207,-102.055801
19.43238,-102.055719
19.432719,-102.055553
19.432958,-102.05546
19.433253,-102.055342
19.433327,-102.055314
19.433272,-102.055109
19.433245,-102.05503
19.433129,-102.054644
19.43301,-102.054196
19.432886,-102.053721
19.432851,-102.053626
19.431992,-102.05401
19.432214,-102.054949
19.432417,-102.055608
19.43245,-102.055734
19.432128,-102.055887
19.431693,-102.056099
19.431512,-102.056187
19.431205,-102.056309
19.430918,-102.056435
19.430594,-102.056579
19.43024,-102.056747
19.43002,-102.056861
19.429837,-102.056932
19.42959,-102.057061
19.429132,-102.05728
19.428855,-102.057406
19.42858,-102.057526
19.428318,-102.057647
19.427821,-102.057873
19.427521,-102.058017
19.427245,-102.058128
19.426974,-102.058248
19.426565,-102.058436
19.426391,-102.058524
19.42617,-102.058618
19.425889,-102.058733
19.425693,-102.058831
19.425474,-102.058912
19.425212,-102.059002
19.425013,-102.059072
19.424722,-102.059161
19.424486,-102.059236
19.42414,-102.059346
19.423811,-102.059468
19.423261,-102.059658
19.423014,-102.059744
19.422566,-102.059888
19.422182,-102.060008
19.422025,-102.060068
19.421513,-102.060234
19.421136,-102.06036
19.420813,-102.060473
19.420435,-102.060595
19.420141,-102.060693
19.419955,-102.060757
19.419629,-102.060869
19.419356,-102.060944
19.419161,-102.061011
19.419029,-102.061043
19.419118,-102.061333
19.419263,-102.061798
19.419332,-102.062007
19.419395,-102.062237
19.419504,-102.062549
19.419591,-102.06282
19.419672,-102.063064
19.419696,-102.063146
19.419414,-102.063251
19.419162,-102.063338
19.4189,-102.063423
19.41868,-102.063495
19.418175,-102.063636
19.418002,-102.063703
19.417822,-102.063765
19.417648,-102.063816
19.41746,-102.063862
19.417221,-102.063938
19.416948,-102.064032
19.416775,-102.064065
19.416511,-102.064177
19.416199,-102.064287
19.415954,-102.064346
19.415726,-102.064417
19.415482,-102.064507
19.41517,-102.06461
19.414902,-102.064684
19.414754,-102.064751
19.414561,-102.064816
19.414388,-102.064861
19.414069,-102.064963
19.413781,-102.065054
19.413585,-102.065114
19.413184,-102.065251
19.412956,-102.065326
19.412686,-102.065408
19.412303,-102.065527
19.412081,-102.065608
19.41186,-102.065713
19.411706,-102.065765
19.41143,-102.065867
19.411158,-102.065963
19.410851,-102.066066
19.410705,-102.066102
19.410366,-102.06622
19.410097,-102.066311
19.409757,-102.066404
19.4094,-102.066519
19.409074,-102.066585
19.408855,-102.066625
19.408591,-102.066707
19.408258,-102.066793
19.408009,-102.066821
19.407655,-102.066882
19.407392,-102.066912
19.407248,-102.066931
19.407132,-102.066941
19.406992,-102.066919
19.406708,-102.066855
19.406328,-102.066778
19.406106,-102.066718
19.405905,-102.066672
19.405674,-102.066618
19.405559,-102.06659
19.405464,-102.066569
19.405301,-102.066526
19.405266,-102.066508
19.405239,-102.066515
19.405211,-102.066517
19.405191,-102.066508
19.405072,-102.066513
19.404705,-102.066555
19.404383,-102.066596
19.404109,-102.066638
19.403768,-102.066706
19.403446,-102.066754
19.403349,-102.066767
19.403154,-102.066832
19.402871,-102.066968
19.402634,-102.067174
19.402409,-102.067404
19.402274,-102.067522
19.402152,-102.067585
19.401952,-102.067669
