Latitude,Longitude
19.391064,-102.017103
19.39112,-102.017522
19.391132,-102.017637
19.391184,-102.018116
19.391192,-102.018202
19.391264,-102.018775
19.391275,-102.018855
19.391315,-102.019133
19.39135,-102.019352
19.391366,-102.019623
19.391378,-102.019679
19.391416,-102.019918
19.3915,-102.020127
19.391743,-102.020686
19.391904,-102.02104
19.391953,-102.021143
19.392251,-102.021799
19.392341,-102.02194
19.392715,-102.022462
19.393112,-102.023035
19.393933,-102.024243
19.394078,-102.024458
19.394606,-102.025202
19.39483,-102.025517
19.395174,-102.02601
19.395449,-102.026423
19.395844,-102.026983
19.396167,-102.027451
19.396457,-102.027871
19.396757,-102.028294
19.396953,-102.028603
19.397096,-102.028886
19.397178,-102.029078
19.397238,-102.0292
19.397373,-102.029418
19.397609,-102.029763
19.397811,-102.030096
19.397997,-102.03038
19.398224,-102.030712
19.398354,-102.030874
19.398498,-102.031064
19.398649,-102.031265
19.398719,-102.03138
19.398821,-102.031533
19.398888,-102.031675
19.398896,-102.031823
19.398849,-102.032039
19.398779,-102.032249
19.398772,-102.032339
19.398813,-102.03265
19.398908,-102.033231
19.398958,-102.033612
19.399006,-102.033904
19.399031,-102.03395
19.399321,-102.033787
19.399677,-102.033554
19.400031,-102.033316
19.400414,-102.033059
19.400889,-102.032758
19.401198,-102.032562
19.401769,-102.032196
19.402041,-102.032007
19.402392,-102.031787
19.402739,-102.03155
19.402972,-102.031411
19.402941,-102.031376
19.402767,-102.031098
19.402609,-102.030838
19.402457,-102.030602
19.402516,-102.030541
19.402763,-102.030369
19.402831,-102.030321
19.403078,-102.030149
19.40314,-102.030118
19.403314,-102.030032
19.403356,-102.030006
19.403859,-102.029681
19.403964,-102.029618
19.403493,-102.028911
19.403187,-102.028483
19.402937,-102.028112
19.402873,-102.02802
19.403067,-102.027896
19.403364,-102.027726
19.403675,-102.027527
19.404041,-102.027303
19.404396,-102.027088
19.404459,-102.027062
19.404656,-102.027385
19.404908,-102.027817
19.40495,-102.027879
19.405272,-102.027682
19.405581,-102.027462
19.405734,-102.027364
19.406066,-102.027146
19.406142,-102.02709
19.406402,-102.027538
19.406603,-102.027919
19.406752,-102.028202
19.406956,-102.028529
19.407077,-102.028715
19.407368,-102.028555
19.407693,-102.02834
19.40782,-102.028253
19.408199,-102.028009
19.4085,-102.027815
19.408722,-102.027655
19.408965,-102.027506
19.409411,-102.027201
19.409973,-102.026837
19.410237,-102.026651
19.410635,-102.026401
19.410886,-102.026222
19.41114,-102.026057
19.411393,-102.025919
19.411762,-102.025737
19.411864,-102.025681
19.412123,-102.025586
19.412493,-102.025453
19.412716,-102.02539
19.412881,-102.02535
19.413252,-102.025301
19.413652,-102.025259
19.414044,-102.025252
19.414379,-102.025246
19.414602,-102.025236
19.414956,-102.025231
19.415242,-102.025228
19.415768,-102.025236
19.415999,-102.025233
19.416454,-102.025226
19.416741,-102.025222
19.416899,-102.025217
19.417252,-102.025198
19.417561,-102.025182
19.417747,-102.025168
19.418163,-102.025147
19.418551,-102.025132
19.418923,-102.025148
19.41945,-102.025137
19.419965,-102.025131
19.420635,-102.025127
19.421196,-102.025113
19.42166,-102.025106
