Latitude,Longitude
19.430873,-102.043579
19.430782,-102.043667
19.430683,-102.043745
19.430533,-102.043842
19.430371,-102.043904
19.430225,-102.043939
19.429961,-102.044016
19.429767,-102.044081
19.429549,-102.044118
19.429339,-102.044132
19.42918,-102.044144
19.42894,-102.044177
19.429006,-102.044772
19.428983,-102.044997
19.428854,-102.045129
19.428543,-102.045327
19.428391,-102.045397
19.428234,-102.045459
19.427751,-102.04551
19.427585,-102.045518
19.427084,-102.045567
19.426917,-102.04557
19.426419,-102.04564
19.426254,-102.045648
19.425713,-102.045731
19.425597,-102.045739
19.42561,-102.04594
19.425635,-102.046488
19.42566,-102.047179
19.425716,-102.047605
19.425787,-102.048139
19.42583,-102.048743
19.425859,-102.04929
19.42593,-102.049931
19.42594,-102.050156
19.425986,-102.050915
19.42602,-102.051226
19.426073,-102.051803
19.426108,-102.052146
19.426164,-102.052795
19.426169,-102.052982
19.425691,-102.053028
19.425079,-102.053087
19.424841,-102.053111
19.424449,-102.053151
19.424191,-102.05318
19.423877,-102.053234
19.423653,-102.053274
19.423053,-102.053408
19.422717,-102.053475
19.42217,-102.053601
19.421923,-102.053671
19.421256,-102.053829
19.421038,-102.053883
19.420454,-102.053998
19.420089,-102.054108
19.419472,-102.054243
19.419194,-102.054307
19.41865,-102.054446
19.418364,-102.054559
19.418015,-102.054701
19.417423,-102.054894
19.417335,-102.054931
19.417385,-102.05513
19.417517,-102.055575
19.417575,-102.05583
19.417659,-102.056082
19.417816,-102.056662
19.417884,-102.056927
19.417947,-102.057147
19.418089,-102.057608
19.41819,-102.057954
19.418253,-102.05822
19.418428,-102.058891
19.418709,-102.059878
19.41879,-102.060162
19.419027,-102.060993
19.419075,-102.061149
19.419316,-102.061972
19.419357,-102.06207
19.419742,-102.06197
19.420113,-102.061855
19.420516,-102.061724
19.42072,-102.061657
19.420865,-102.061643
19.420981,-102.062107
19.421196,-102.063006
19.421477,-102.063985
19.42152,-102.064065
19.421788,-102.064004
19.422089,-102.063939
19.422139,-102.064025
19.422306,-102.064548
19.422465,-102.065033
19.422632,-102.065663
19.422663,-102.065736
19.42297,-102.065647
19.423602,-102.065448
19.423711,-102.065438
19.423789,-102.06565
19.423901,-102.066076
19.424066,-102.066601
19.424289,-102.067352
19.424377,-102.067702
19.424622,-102.06852
19.424682,-102.068751
19.42491,-102.069585
19.424935,-102.069741
19.42518,-102.070583
19.425272,-102.070884
19.425439,-102.071464
19.425558,-102.071552
19.426017,-102.071749
19.426474,-102.071955
19.426621,-102.07202
19.427056,-102.072205
19.427678,-102.072481
19.427898,-102.072581
19.42858,-102.07285
19.42874,-102.072915
19.428955,-102.07296
19.429122,-102.072971
19.429306,-102.07288
19.429478,-102.072746
19.429809,-102.072557
19.429973,-102.072482
19.430239,-102.072359
19.430591,-102.072268
19.430824,-102.072231
19.43122,-102.072274
19.43142,-102.072317
19.43166,-102.072446
19.431807,-102.072561
19.431946,-102.072687
19.432014,-102.07277
19.432155,-102.073023
19.432395,-102.073398
19.432443,-102.07349
19.432683,-102.073916
19.43285,-102.074225
19.432911,-102.074353
19.432954,-102.074447
19.433197,-102.074587
19.433336,-102.074576
19.433432,-102.074608
19.433472,-102.074702
19.43349,-102.07475
19.43348,-102.07486
19.433467,-102.074941
19.43345,-102.075032
19.433452,-102.075279
19.433472,-102.075381
19.433581,-102.075547
19.433778,-102.075876
19.43398,-102.076161
19.434145,-102.076356
19.434256,-102.07644
19.434383,-102.076429
19.434549,-102.076394
19.434711,-102.076305
19.434775,-102.076195
19.434823,-102.076026
19.434843,-102.075876
19.434813,-102.075707
19.434825,-102.075562
19.434846,-102.075355
19.434878,-102.075237
19.434967,-102.075055
19.435058,-102.074864
19.435152,-102.074725
19.435357,-102.074383
19.435521,-102.074166
19.435649,-102.073856
19.435707,-102.073709
19.43578,-102.073408
19.435856,-102.072994
19.435942,-102.072611
19.436048,-102.072109
19.436117,-102.07179
19.436188,-102.0715
19.436228,-102.071281
19.436291,-102.071074
19.436372,-102.070916
19.43641,-102.070833
19.436499,-102.070728
19.436655,-102.070639
19.436843,-102.070586
19.437172,-102.070571
19.437461,-102.070581
19.437839,-102.070627
19.438288,-102.070697
19.438932,-102.070795
19.439431,-102.070871
19.439851,-102.070927
19.44004,-102.070972
19.440263,-102.071066
19.440468,-102.071187
19.44065,-102.071335
19.440779,-102.071512
19.440913,-102.071769
19.441006,-102.071981
19.441146,-102.072451
19.441242,-102.072802
19.441355,-102.073189
19.441474,-102.073573
19.441623,-102.07405
19.441755,-102.074514
19.441947,-102.075169
19.442018,-102.0754
19.442124,-102.075672
19.442213,-102.075855
19.442291,-102.076005
19.442382,-102.076142
19.442506,-102.076279
19.442706,-102.076445
19.442873,-102.076515
19.44309,-102.076575
19.443386,-102.076628
19.443797,-102.07663
19.444093,-102.076622
19.444444,-102.076609
19.444792,-102.076589
19.445264,-102.076575
19.445491,-102.076561
19.445924,-102.076541
19.446337,-102.076522
19.447177,-102.076492
19.447811,-102.07646
19.448294,-102.076448
19.448865,-102.07641
19.449303,-102.076399
19.449816,-102.076376
19.450331,-102.076353
19.450968,-102.07633
19.451605,-102.076308
19.452581,-102.076269
19.453271,-102.076246
19.453766,-102.07623
19.454366,-102.076204
19.454852,-102.076178
19.455371,-102.076165
19.455913,-102.076124
19.456244,-102.076111
19.456583,-102.076114
19.456734,-102.076121
19.456827,-102.076121
19.457248,-102.076092
19.457578,-102.076086
19.458,-102.076061
19.458324,-102.076049
19.458503,-102.076056
19.458823,-102.076032
19.459186,-102.076008
19.459638,-102.075995
19.46008,-102.07597
19.460564,-102.075948
19.461233,-102.075918
19.461732,-102.075878
19.462079,-102.075868
19.462596,-102.075843
19.463208,-102.075811
19.46393,-102.075769
19.46434,-102.075745
19.464871,-102.07566
19.465165,-102.075593
19.465413,-102.075504
19.465957,-102.075315
19.46642,-102.075157
19.466987,-102.074947
19.467558,-102.074751
19.468246,-102.074499
19.468719,-102.074343
19.469375,-102.074094
19.470025,-102.073866
19.470448,-102.073702
19.471219,-102.073425
19.471598,-102.073291
19.472003,-102.073135
19.47235,-102.07301
19.472651,-102.072916
19.4728,-102.072871
19.472944,-102.072962
19.473313,-102.072834
19.473672,-102.07271
19.474044,-102.072565
19.474527,-102.072367
19.474689,-102.072289
19.474732,-102.072337
19.474674,-102.072375
19.474522,-102.072431
19.473885,-102.072686
19.473539,-102.072806
19.47306,-102.072982
19.472967,-102.07302
19.472697,-102.073147
19.472595,-102.073045
19.472109,-102.073203
19.471856,-102.073296
19.471704,-102.073341
19.471619,-102.073363
19.471403,-102.073447
19.471102,-102.073557
19.470763,-102.073666
19.47028,-102.073845
19.469657,-102.074072
19.469198,-102.074244
19.468782,-102.074397
19.468522,-102.074481
19.468313,-102.074558
19.467889,-102.074705
19.467565,-102.074828
19.467002,-102.075021
19.466729,-102.075121
