Latitude,Longitude
19.441524,-102.011683
19.441447,-102.011581
19.441252,-102.011392
19.441031,-102.011235
19.440873,-102.011125
19.440615,-102.01149
19.440332,-102.011902
19.440007,-102.012372
19.439814,-102.012655
19.439596,-102.012964
19.439526,-102.013073
19.439403,-102.013273
19.43921,-102.013565
19.439049,-102.013793
19.438854,-102.014076
19.438673,-102.014329
19.438497,-102.014607
19.438334,-102.014855
19.438158,-102.015088
19.43798,-102.015321
19.43786,-102.01551
19.437755,-102.015631
19.437678,-102.015737
19.43758,-102.015897
19.43743,-102.016115
19.437326,-102.016252
19.437144,-102.016512
19.437014,-102.016711
19.436826,-102.016972
19.43658,-102.017333
19.436369,-102.017635
19.436102,-102.018016
19.43563,-102.018697
19.435461,-102.01894
19.435238,-102.019265
19.435057,-102.019534
19.434876,-102.019786
19.434746,-102.01998
19.434692,-102.020094
19.434531,-102.020367
19.434354,-102.020684
19.434212,-102.020955
19.434111,-102.021136
19.433865,-102.021615
19.433741,-102.02185
19.433605,-102.022097
19.433418,-102.022447
19.433302,-102.022641
19.433212,-102.022825
19.433006,-102.023186
19.432864,-102.023442
19.43265,-102.023822
19.432324,-102.024427
19.432174,-102.024617
19.432143,-102.02482
19.432038,-102.025028
19.431968,-102.025226
19.431861,-102.025437
19.43178,-102.025596
19.431712,-102.025655
19.431665,-102.025797
19.431529,-102.026145
19.431377,-102.026452
19.431235,-102.026703
19.431059,-102.027055
19.430962,-102.027242
19.430865,-102.027444
19.430762,-102.027632
19.430652,-102.027868
19.430575,-102.028057
19.430503,-102.028206
19.430398,-102.028539
19.430322,-102.028759
19.430194,-102.02907
19.430033,-102.029502
19.42996,-102.029715
19.429882,-102.029971
19.429825,-102.030173
19.429758,-102.030396
19.429596,-102.030963
19.429459,-102.031394
19.429333,-102.031766
19.429263,-102.032053
19.429165,-102.032444
19.429093,-102.032711
19.429036,-102.032861
19.428923,-102.033203
19.428859,-102.033442
19.428744,-102.033817
19.428515,-102.034598
19.428421,-102.034852
19.428345,-102.035103
19.428287,-102.035343
19.428196,-102.035578
19.428114,-102.035814
19.428061,-102.036016
19.427832,-102.036692
19.427681,-102.037144
19.427566,-102.037489
19.42747,-102.037796
19.42738,-102.03813
19.427277,-102.038477
19.427122,-102.03901
19.426987,-102.039454
19.426765,-102.040191
19.426637,-102.040566
19.426545,-102.040933
19.426464,-102.041263
19.426384,-102.0416
19.42631,-102.041861
19.426217,-102.042207
19.426107,-102.042566
19.426019,-102.042886
19.42598,-102.043038
19.425886,-102.043336
19.425795,-102.043781
19.425741,-102.044003
19.425707,-102.044166
19.425679,-102.044405
19.425664,-102.044545
19.425633,-102.044858
19.425617,-102.045141
19.425607,-102.045548
19.425607,-102.04576
19.425617,-102.046221
19.425647,-102.046827
19.425698,-102.047455
19.425744,-102.048056
19.425789,-102.048565
