Latitude,Longitude
19.38778,-102.054376
19.387922,-102.054888
19.388026,-102.055279
19.388089,-102.055521
19.388223,-102.056112
19.388251,-102.056244
19.388307,-102.056444
19.388365,-102.056649
19.38842,-102.056838
19.38849,-102.057077
19.388556,-102.057318
19.388628,-102.057591
19.388692,-102.057868
19.388738,-102.058014
19.388834,-102.058353
19.3889,-102.058604
19.388948,-102.058781
19.388997,-102.058977
19.389006,-102.05902
19.389368,-102.058923
19.389778,-102.058824
19.390263,-102.058693
19.390752,-102.05855
19.391113,-102.058475
19.391504,-102.058337
19.39183,-102.058253
19.392129,-102.058168
19.392544,-102.058058
19.392944,-102.057955
19.393331,-102.057842
19.393715,-102.057741
19.39407,-102.057625
19.394416,-102.057547
19.394867,-102.057419
19.395256,-102.057309
19.39556,-102.057223
19.395572,-102.057099
19.395636,-102.056995
19.395737,-102.056917
19.395934,-102.056936
19.396035,-102.057008
19.396536,-102.056863
19.396918,-102.056735
19.397366,-102.056598
19.397705,-102.056491
19.39812,-102.056389
19.398578,-102.056249
19.398925,-102.056166
19.399236,-102.056035
19.399582,-102.055946
19.399964,-102.055828
19.400397,-102.055718
19.400726,-102.055611
19.401095,-102.055498
19.401482,-102.055388
19.401912,-102.05527
19.402492,-102.055107
19.402924,-102.054962
19.403317,-102.054852
19.403709,-102.054728
19.404129,-102.054621
19.404667,-102.054463
19.405055,-102.05435
19.405373,-102.054246
19.405654,-102.054173
19.405958,-102.054087
19.406073,-102.054045
19.406127,-102.054025
19.40614,-102.053966
19.406199,-102.053884
19.406236,-102.053863
19.406282,-102.05384
19.406342,-102.053822
19.406434,-102.053829
19.406547,-102.053885
19.406643,-102.053859
19.406919,-102.053781
19.407357,-102.053642
19.407675,-102.053542
19.408002,-102.053443
19.408363,-102.053349
19.408826,-102.053213
19.409196,-102.053099
19.409548,-102.053003
19.409935,-102.052906
19.41033,-102.052799
19.410927,-102.052624
19.411299,-102.052532
19.411704,-102.052409
19.412228,-102.052256
19.412761,-102.052096
19.413249,-102.051927
19.413636,-102.051809
19.414013,-102.051686
19.414362,-102.051587
19.414752,-102.051488
19.414997,-102.051437
19.415576,-102.05127
19.415967,-102.051159
19.416263,-102.051089
19.416363,-102.051074
19.416421,-102.051329
19.416474,-102.051561
19.41655,-102.051797
19.416644,-102.052197
19.416741,-102.052623
19.416809,-102.052889
19.416871,-102.05312
19.416907,-102.05328
19.416958,-102.053541
19.41704,-102.053851
19.417139,-102.054194
19.417346,-102.054993
19.417449,-102.055419
19.417575,-102.055824
19.417659,-102.056136
19.417793,-102.056587
19.417919,-102.057035
19.418056,-102.057466
19.41819,-102.057992
19.418354,-102.058577
19.418468,-102.059046
19.41865,-102.059666
19.418741,-102.059982
19.418822,-102.060224
19.41888,-102.060468
19.418979,-102.060806
19.419068,-102.061141
19.419166,-102.061442
19.419267,-102.061809
19.419404,-102.062155
19.419526,-102.062598
19.41959,-102.062819
19.419646,-102.062986
19.419694,-102.063145
19.419608,-102.063194
19.419405,-102.063259
19.419185,-102.063335
19.418968,-102.0634
19.418708,-102.063492
19.418545,-102.063544
