Latitude,Longitude
19.430118,-102.005409
19.429668,-102.005808
19.429109,-102.006275
19.428838,-102.006495
19.428611,-102.006677
19.428295,-102.006953
19.428108,-102.007139
19.427921,-102.007289
19.427708,-102.007498
19.427531,-102.007627
19.427319,-102.007804
19.427111,-102.007981
19.42699,-102.008099
19.426802,-102.008276
19.426585,-102.008464
19.426337,-102.008678
19.426054,-102.00893
19.42573,-102.009215
19.425497,-102.009386
19.4253,-102.009569
19.425108,-102.009719
19.42485,-102.009939
19.424475,-102.01025
19.424313,-102.0104
19.424157,-102.010527
19.424,-102.010682
19.424073,-102.010872
19.424212,-102.01126
19.424403,-102.011745
19.424544,-102.012342
19.42457,-102.01276
19.424574,-102.012972
19.424521,-102.013463
19.424454,-102.014121
19.424356,-102.014733
19.42426,-102.015682
19.424212,-102.016068
19.424177,-102.016448
19.424141,-102.016729
19.424117,-102.017129
19.424074,-102.017498
19.424021,-102.017927
19.423993,-102.01821
19.423952,-102.018461
19.42392,-102.018741
19.423896,-102.01907
19.423842,-102.019429
19.423778,-102.019963
19.423745,-102.020274
19.423721,-102.020742
19.42368,-102.021095
19.423654,-102.021504
19.423589,-102.022071
19.423556,-102.02244
19.423525,-102.022649
19.423491,-102.023033
19.423476,-102.023341
19.423435,-102.023803
19.423407,-102.024117
19.423336,-102.024589
19.42322,-102.025495
19.423083,-102.02663
19.42302,-102.027153
19.422987,-102.02759
19.422919,-102.028403
19.422899,-102.028845
19.422851,-102.029333
19.422762,-102.030017
19.422674,-102.030659
19.422593,-102.031326
19.422555,-102.031656
19.422517,-102.032142
19.422431,-102.032828
19.422378,-102.033453
19.422325,-102.03392
19.422241,-102.034773
19.422132,-102.035505
19.422125,-102.035808
19.422061,-102.036227
19.422039,-102.036618
19.421986,-102.036997
19.421945,-102.037434
19.421902,-102.037766
19.421867,-102.038018
19.421846,-102.03834
19.421788,-102.03881
19.421725,-102.039317
19.421672,-102.039708
19.421631,-102.040052
19.421581,-102.040333
19.421467,-102.040846
19.421389,-102.041079
19.421234,-102.041334
19.421095,-102.041599
19.420918,-102.041889
19.420713,-102.042224
19.420524,-102.042487
19.420185,-102.043061
19.419954,-102.043394
19.419585,-102.043984
19.419413,-102.044255
19.419171,-102.044641
19.419249,-102.044743
19.419305,-102.044936
19.419378,-102.045598
19.419426,-102.04603
19.419449,-102.046494
19.41959,-102.047563
19.419623,-102.047877
19.419651,-102.04818
19.419702,-102.048636
19.419722,-102.048947
19.419778,-102.049336
19.419843,-102.049864
19.419891,-102.050318
19.419957,-102.051063
19.41997,-102.051501
19.420018,-102.051742
19.420056,-102.051983
19.420153,-102.051999
19.420225,-102.052097
19.420228,-102.052168
19.420204,-102.05223
19.420174,-102.052274
19.420113,-102.052296
19.420105,-102.052349
19.420112,-102.05245
19.420134,-102.05275
19.420177,-102.053106
19.420205,-102.053367
19.420228,-102.053566
19.420247,-102.053764
19.420268,-102.053932
19.420302,-102.054051
19.42012,-102.054105
19.419859,-102.054161
19.419629,-102.054209
19.419401,-102.054268
19.419177,-102.054312
19.418939,-102.054385
19.41877,-102.05442
19.418633,-102.054449
19.418489,-102.0545
19.41836,-102.054567
19.418112,-102.05468
19.41792,-102.054731
19.417646,-102.054833
19.417411,-102.054921
19.417345,-102.054937
19.417421,-102.055238
19.417505,-102.055557
19.417593,-102.055876
19.417662,-102.056128
19.417716,-102.056336
19.417791,-102.056582
19.417859,-102.056816
19.417908,-102.05703
19.418058,-102.057514
19.418179,-102.057916
19.418258,-102.058206
19.418341,-102.058563
19.418407,-102.058817
19.418541,-102.059295
19.418647,-102.059601
19.418759,-102.059979
19.418819,-102.060226
19.41891,-102.060523
19.419001,-102.060885
19.419097,-102.06118
19.419184,-102.0615
19.419272,-102.061824
19.419373,-102.062095
19.419464,-102.062395
19.419533,-102.062648
19.419626,-102.062988
19.419686,-102.06316
19.419495,-102.063228
19.419308,-102.063292
19.419174,-102.063336
19.419023,-102.06339
19.418958,-102.063403
19.418772,-102.063477
19.418683,-102.063486
19.418602,-102.063173
19.418515,-102.062915
19.418401,-102.062566
19.418345,-102.062379
19.418275,-102.062137
19.418181,-102.061798
19.418063,-102.061467
19.417998,-102.061219
19.417902,-102.060828
19.417843,-102.060579
19.417797,-102.060409
19.417776,-102.060313
19.417964,-102.060241
19.41811,-102.060191
19.418272,-102.060149
19.418482,-102.06007
19.418859,-102.05995
19.419082,-102.059883
19.4193,-102.059803
19.419527,-102.059741
19.419782,-102.059671
19.419686,-102.059346
19.419582,-102.058987
19.419504,-102.058732
19.419456,-102.05852
19.419373,-102.058276
19.419279,-102.057863
19.419208,-102.057694
19.419137,-102.05745
19.419018,-102.057085
19.418935,-102.056855
19.418887,-102.05668
19.418856,-102.056549
19.418808,-102.056359
19.41876,-102.056114
19.418672,-102.055841
19.418626,-102.055648
19.418715,-102.055599
19.418647,-102.055302
19.418543,-102.054953
19.418383,-102.05424
19.418343,-102.053963
19.418275,-102.053548
19.418234,-102.053381
19.418224,-102.053116
19.418136,-102.052456
19.418113,-102.052075
19.418034,-102.051565
19.418029,-102.051235
19.417996,-102.0509
19.417943,-102.050839
19.417905,-102.050814
19.417857,-102.050726
19.417893,-102.050586
19.417941,-102.050527
19.417976,-102.050345
19.417931,-102.049884
19.41791,-102.049591
19.417893,-102.049229
19.417824,-102.048744
19.417809,-102.04829
19.417778,-102.047981
19.417778,-102.047793
19.41774,-102.047576
19.417713,-102.047257
19.417675,-102.046967
19.417697,-102.04679
19.417756,-102.046635
19.417912,-102.046374
19.418206,-102.045916
19.418525,-102.04539
19.418846,-102.044872
19.419005,-102.044642
19.419213,-102.044282
19.419448,-102.04392
19.419625,-102.043633
19.419901,-102.043191
19.420325,-102.042538
19.420616,-102.04209
19.420864,-102.04169
19.421132,-102.041266
19.421284,-102.040958
19.421337,-102.040762
19.421425,-102.040505
19.421481,-102.040306
19.421509,-102.040035
19.421549,-102.03973
19.421605,-102.039295
19.421658,-102.03882
19.421706,-102.038278
19.421779,-102.037702
19.421827,-102.037224
19.421908,-102.036678
19.421924,-102.036313
19.421999,-102.035758
19.422065,-102.035197
19.422108,-102.034827
19.422161,-102.034363
19.422204,-102.033888
19.422258,-102.033384
19.422313,-102.032845
19.422381,-102.03222
19.422445,-102.031718
19.422455,-102.031447
19.422528,-102.030908
19.422576,-102.030506
19.422639,-102.029988
19.422708,-102.029256
19.422766,-102.02873
19.422822,-102.028194
19.422878,-102.027614
19.422885,-102.027361
19.422918,-102.026981
19.422989,-102.026482
19.423072,-102.025803
19.423191,-102.024875
19.423285,-102.02418
19.42331,-102.02373
19.423353,-102.023362
19.423378,-102.023
19.423439,-102.022456
19.423469,-102.022107
19.423588,-102.021072
19.423624,-102.020592
19.423654,-102.020119
19.4237,-102.01965
19.423773,-102.019151
19.423862,-102.018523
19.42394,-102.017785
19.423996,-102.017147
19.424082,-102.016415
19.424145,-102.015937
19.42419,-102.015476
19.424246,-102.014977
19.424288,-102.014551
19.424351,-102.013948
19.424379,-102.013521
19.424407,-102.013258
19.424422,-102.012939
19.424437,-102.012478
19.424387,-102.012065
19.42425,-102.01163
19.424119,-102.011303
19.424015,-102.01104
19.423893,-102.010654
19.423876,-102.010576
19.424093,-102.010418
19.424427,-102.010149
19.424755,-102.009891
19.425285,-102.009446
19.425591,-102.009151
19.425834,-102.008947
19.426343,-102.008521
19.426613,-102.008271
19.426977,-102.00796
19.427255,-102.007716
19.427674,-102.007355
19.427859,-102.007178
19.428208,-102.006874
19.428431,-102.006705
19.428767,-102.006426
19.429053,-102.006179
19.429438,-102.005868
19.429727,-102.005617
19.429886,-102.005472
19.43,-102.005362
19.430061,-102.005332
