Latitude,Longitude
19.416305,-102.008012
19.416263,-102.008027
19.416081,-102.007992
19.41564,-102.007893
19.415586,-102.00787
19.415604,-102.007745
19.415647,-102.007557
19.41572,-102.007325
19.416007,-102.007395
19.416348,-102.007464
19.417223,-102.007638
19.41765,-102.007724
19.418171,-102.007839
19.41846,-102.007903
19.418547,-102.007949
19.418591,-102.007972
19.418798,-102.00802
19.418892,-102.008039
19.418923,-102.007933
19.418985,-102.007721
19.419043,-102.007476
19.419087,-102.00732
19.419144,-102.007089
19.419193,-102.006892
19.419247,-102.006679
19.419284,-102.006542
19.419391,-102.006122
19.419488,-102.005769
19.41957,-102.005479
19.419639,-102.005241
19.419747,-102.004851
19.419885,-102.00436
19.420076,-102.00367
19.420084,-102.003639
19.420059,-102.003627
19.42005,-102.003602
19.420083,-102.003563
19.42033,-102.003511
19.420785,-102.003418
19.421008,-102.003356
19.421153,-102.003692
19.421361,-102.004227
19.421738,-102.005141
19.4218,-102.005333
19.422076,-102.005992
19.422272,-102.00648
19.422491,-102.007072
19.422704,-102.007584
19.42312,-102.008573
19.423269,-102.008942
19.423517,-102.009545
19.423904,-102.010454
19.424055,-102.0108
19.424255,-102.011356
19.424409,-102.011767
19.424554,-102.012445
19.424542,-102.013056
19.424503,-102.01354
19.424419,-102.014362
19.424375,-102.014745
19.424318,-102.015195
19.424258,-102.01571
19.424194,-102.016201
19.424161,-102.016629
19.424131,-102.017026
19.424093,-102.017334
19.424056,-102.0177
19.424021,-102.017969
19.423973,-102.018279
19.423931,-102.018561
19.423826,-102.01957
19.423761,-102.020183
19.423683,-102.021005
19.423606,-102.021845
19.423541,-102.022518
19.423484,-102.023202
19.423417,-102.023775
19.42334,-102.024468
19.423235,-102.025274
19.423164,-102.025886
19.423058,-102.026741
19.423033,-102.027091
19.423012,-102.027319
19.422974,-102.027676
19.422929,-102.028324
19.422856,-102.028976
19.422806,-102.029585
19.42272,-102.030301
19.422643,-102.030868
19.422579,-102.031419
19.422504,-102.032135
19.422456,-102.032596
19.422407,-102.033121
19.422342,-102.033761
19.422278,-102.034266
19.422202,-102.034858
19.422124,-102.035553
19.422023,-102.036662
19.421956,-102.037212
19.421908,-102.03773
19.421835,-102.038296
19.421756,-102.039019
19.421693,-102.039622
19.421628,-102.040091
19.421547,-102.040538
19.421436,-102.040916
19.421332,-102.041157
19.420823,-102.042
19.420371,-102.0427
19.41995,-102.043377
19.419559,-102.044018
19.41927,-102.04442
19.419149,-102.044652
19.419272,-102.044735
19.419291,-102.044877
19.41935,-102.045339
19.419372,-102.045556
19.419456,-102.046352
19.41947,-102.04652
19.419518,-102.046977
19.419549,-102.047175
19.419604,-102.047777
19.419603,-102.0479
19.419656,-102.04833
19.419701,-102.048718
19.419714,-102.048914
19.419752,-102.049297
19.419837,-102.050007
19.419858,-102.050268
19.419902,-102.050703
19.41993,-102.051133
19.41996,-102.051294
19.420035,-102.051935
19.420045,-102.051989
19.420105,-102.051986
19.42015,-102.052013
19.42019,-102.052052
19.420224,-102.052124
19.420217,-102.052225
19.420184,-102.052265
19.420109,-102.0523
19.420093,-102.052308
19.420111,-102.052469
19.420137,-102.052835
19.420175,-102.053206
19.42022,-102.053603
19.420269,-102.053985
19.420289,-102.054111
19.42046,-102.054929
19.420493,-102.055128
19.420621,-102.055576
19.420719,-102.056056
19.420881,-102.056689
19.420989,-102.057064
19.421101,-102.057494
19.421159,-102.057605
19.421518,-102.058032
19.421804,-102.058902
19.421932,-102.05931
19.422119,-102.059963
19.422335,-102.060622
19.422458,-102.061036
19.422505,-102.061184
19.422753,-102.062081
19.422794,-102.062232
19.422906,-102.062588
19.423041,-102.062977
19.423106,-102.06317
19.423166,-102.063416
19.42328,-102.063809
19.42336,-102.064206
19.423391,-102.064294
19.422837,-102.06446
19.422387,-102.064611
19.421792,-102.064788
19.421405,-102.064922
19.421274,-102.064927
19.421172,-102.064568
19.421081,-102.064297
19.421016,-102.064026
19.420907,-102.063605
19.420813,-102.063229
19.420735,-102.062897
19.420601,-102.062398
19.420441,-102.061867
19.420292,-102.061453
19.420125,-102.060882
19.419976,-102.060418
19.419829,-102.05983
19.419735,-102.059465
19.419561,-102.058964
19.419336,-102.058098
19.419199,-102.05765
19.419083,-102.057227
19.418954,-102.05684
19.418873,-102.056553
19.418797,-102.056299
19.418686,-102.05584
19.41863,-102.055676
19.418703,-102.055623
19.418627,-102.055298
19.418554,-102.054971
19.418455,-102.054598
19.41839,-102.054258
19.418321,-102.053794
19.418273,-102.053523
