Latitude,Longitude
19.372999,-102.039481
19.372957,-102.039367
19.372948,-102.039238
19.373019,-102.039091
19.373116,-102.039023
19.373346,-102.038917
19.373517,-102.03884
19.373637,-102.038829
19.373948,-102.039044
19.374171,-102.039167
19.374322,-102.03928
19.374411,-102.039418
19.374481,-102.039476
19.374589,-102.03957
19.374683,-102.039798
19.37475,-102.039912
19.374863,-102.040234
19.375019,-102.040595
19.37516,-102.040936
19.3753,-102.041272
19.375455,-102.041633
19.375579,-102.041948
19.375681,-102.042173
19.375882,-102.04264
19.376035,-102.042974
19.376119,-102.043163
19.376185,-102.043336
19.376344,-102.043678
19.3765,-102.044063
19.376529,-102.044108
19.376725,-102.044023
19.376998,-102.043903
19.377274,-102.043767
19.37756,-102.043637
19.37771,-102.043561
19.377785,-102.043686
19.377893,-102.04388
19.377981,-102.044045
19.378044,-102.044162
19.378126,-102.044316
19.378165,-102.044379
19.378259,-102.044553
19.378331,-102.044681
19.378401,-102.04481
19.378458,-102.044912
19.378501,-102.044992
19.378575,-102.045137
19.378636,-102.045264
19.378698,-102.045392
19.378756,-102.045514
19.378772,-102.045538
19.378967,-102.045949
19.379149,-102.04637
19.379265,-102.046649
19.379331,-102.046778
19.379765,-102.046495
19.380074,-102.04631
19.380387,-102.046098
19.380696,-102.045872
19.381033,-102.045659
19.381412,-102.045436
19.381744,-102.045227
19.382123,-102.044983
19.382781,-102.044562
19.383451,-102.044139
19.38401,-102.04375
19.384694,-102.043297
19.385956,-102.042498
19.386966,-102.041817
19.387464,-102.0415
19.38815,-102.041058
19.38882,-102.04061
19.389434,-102.040208
19.390001,-102.039854
19.390472,-102.039537
19.391056,-102.039153
19.391719,-102.038697
19.392389,-102.038287
19.39303,-102.03786
19.393594,-102.037517
19.394239,-102.037077
19.394849,-102.036686
19.395317,-102.03638
19.395825,-102.036045
19.396483,-102.035607
19.397255,-102.035127
19.398183,-102.034532
19.398788,-102.034129
19.399516,-102.033633
19.400207,-102.033193
19.400812,-102.032802
19.401728,-102.032225
19.402624,-102.031619
19.402851,-102.031488
19.402954,-102.031405
19.402928,-102.031363
19.40288,-102.031281
19.402817,-102.031187
19.402754,-102.031072
19.402644,-102.030883
19.402459,-102.030603
19.402507,-102.030546
19.402611,-102.030472
19.402759,-102.030367
19.402836,-102.030311
19.402945,-102.030248
19.403083,-102.030162
19.403289,-102.030048
19.4034,-102.029981
19.403603,-102.029856
19.403816,-102.029712
19.403949,-102.029637
19.403978,-102.029618
19.403866,-102.029444
19.403777,-102.029311
19.40367,-102.029132
19.403548,-102.028994
19.403443,-102.028851
19.403334,-102.028708
19.403153,-102.028436
19.403021,-102.028243
19.402933,-102.028095
19.402876,-102.028016
19.403005,-102.027937
19.403144,-102.027846
19.403357,-102.027713
19.403522,-102.027623
19.403662,-102.027553
19.40371,-102.027514
19.403908,-102.027403
19.404095,-102.027272
19.404255,-102.027181
19.40446,-102.027063
19.404584,-102.027245
19.404682,-102.027411
19.404758,-102.027559
19.404897,-102.02779
19.404951,-102.027883
19.405269,-102.027674
19.40552,-102.027495
19.405957,-102.02721
19.406146,-102.027084
19.406172,-102.027127
19.406249,-102.027267
19.406329,-102.027398
19.406423,-102.027559
19.406511,-102.027711
19.406567,-102.027817
19.406685,-102.028048
19.406736,-102.028155
19.406766,-102.028205
19.40683,-102.028314
19.406889,-102.028403
19.406977,-102.028548
19.407006,-102.028597
19.407069,-102.028702
19.40709,-102.028723
19.407552,-102.028437
19.407951,-102.028174
19.408498,-102.02781
19.408963,-102.027498
19.409495,-102.02715
19.40998,-102.026844
19.410638,-102.026409
19.411119,-102.026077
19.411742,-102.025737
19.412258,-102.025544
19.412713,-102.025388
19.413249,-102.025292
19.41372,-102.025249
19.414256,-102.025228
19.415,-102.025244
19.416009,-102.025233
19.416758,-102.025244
19.417643,-102.02518
19.418539,-102.025164
19.419409,-102.025126
19.420112,-102.025142
19.420922,-102.025105
19.421696,-102.025099
19.422576,-102.025072
19.423072,-102.02504
19.423385,-102.02504
19.423335,-102.025528
19.423213,-102.026301
19.423163,-102.026687
19.423122,-102.027143
19.423071,-102.027317
19.423019,-102.027461
19.422962,-102.028094
19.422916,-102.028505
19.42288,-102.028951
19.422824,-102.029531
19.42276,-102.030025
19.422702,-102.030457
19.42255,-102.031846
19.422457,-102.032696
19.422391,-102.033458
19.42229,-102.034263
19.422191,-102.035073
19.422138,-102.035682
19.422049,-102.036572
19.421972,-102.037272
19.421901,-102.03779
19.421838,-102.038267
19.421789,-102.038734
19.421741,-102.039189
19.421678,-102.039699
19.421655,-102.039951
19.421625,-102.040182
19.421572,-102.04038
19.421509,-102.040734
19.421365,-102.041126
19.421147,-102.041499
19.42095,-102.041818
19.420755,-102.04211
19.420547,-102.042478
19.420241,-102.042939
19.419877,-102.043475
19.419634,-102.043904
19.419457,-102.044158
19.419252,-102.044504
19.419174,-102.044652
19.419273,-102.044759
19.41931,-102.044995
19.419343,-102.04529
19.419376,-102.045513
19.419388,-102.045758
19.419405,-102.045978
19.41944,-102.046358
19.419496,-102.04677
19.419545,-102.047213
19.419582,-102.047478
19.419614,-102.047804
19.419623,-102.048035
19.419645,-102.048322
19.419674,-102.048487
19.419705,-102.048758
19.419727,-102.048991
19.41975,-102.049255
19.4198,-102.049642
19.419819,-102.049965
19.419841,-102.050071
