Latitude,Longitude
19.426555,-102.04308
19.426603,-102.042798
19.426661,-102.042331
19.426725,-102.042004
19.42673,-102.041848
19.42656,-102.041738
19.426487,-102.041706
19.426378,-102.041677
19.426257,-102.042095
19.426183,-102.042283
19.426085,-102.04264
19.426026,-102.042892
19.425928,-102.043216
19.425806,-102.043761
19.425738,-102.044056
19.425705,-102.044265
19.425682,-102.044453
19.425662,-102.044726
19.425624,-102.045266
19.425631,-102.045998
19.425624,-102.046537
19.425664,-102.046979
19.425689,-102.04747
19.425748,-102.047956
19.425796,-102.048449
19.425856,-102.048908
19.425859,-102.04938
19.425927,-102.049973
19.42596,-102.050386
19.426001,-102.050842
19.426044,-102.051252
19.426044,-102.051569
19.426071,-102.051856
19.426104,-102.052333
19.426178,-102.052878
19.426195,-102.05332
19.426321,-102.054164
19.426364,-102.054432
19.42642,-102.054684
19.426518,-102.055033
19.426622,-102.055363
19.426728,-102.05573
19.426837,-102.056068
19.426956,-102.056443
19.427052,-102.056851
19.427219,-102.057345
19.427371,-102.057833
19.427459,-102.058139
19.427583,-102.058605
19.427745,-102.059102
19.427902,-102.059595
19.428049,-102.060126
19.42818,-102.060542
19.428327,-102.060968
19.428441,-102.061381
19.428529,-102.061725
19.428645,-102.062057
19.428727,-102.062135
19.428788,-102.062242
19.428816,-102.062299
19.428843,-102.062409
19.42881,-102.062486
19.428778,-102.062511
19.428692,-102.062559
19.42858,-102.062602
19.428487,-102.062647
19.428294,-102.062696
19.427791,-102.06287
19.427541,-102.062942
19.427214,-102.063044
19.426934,-102.063144
19.42661,-102.063264
19.426268,-102.06339
19.426086,-102.063431
19.425864,-102.063482
19.425649,-102.063557
19.425451,-102.063621
19.425307,-102.063693
19.4251,-102.063782
19.424902,-102.063836
19.424743,-102.063897
19.424543,-102.063967
19.424313,-102.064034
19.42406,-102.06412
19.423708,-102.064225
19.423501,-102.064284
19.423291,-102.064337
19.423048,-102.064404
19.422816,-102.064463
19.422396,-102.064604
19.422166,-102.064677
19.421946,-102.064747
19.421718,-102.064827
19.421564,-102.06487
19.421283,-102.06495
19.421157,-102.064547
19.421101,-102.064335
19.42103,-102.064059
19.42098,-102.063901
19.420906,-102.063643
19.420841,-102.063348
19.420734,-102.062908
19.420641,-102.06257
19.420557,-102.06224
19.420471,-102.061959
19.420385,-102.061731
19.420277,-102.061454
19.420206,-102.061146
19.420122,-102.060915
19.420059,-102.060717
19.419766,-102.060816
19.419492,-102.06091
19.419067,-102.061049
19.418875,-102.061103
19.418642,-102.061165
19.418427,-102.061229
19.418159,-102.061323
19.417997,-102.061371
19.417737,-102.061441
19.417469,-102.06154
19.417304,-102.061591
19.417137,-102.061637
19.417031,-102.06168
19.416765,-102.061772
19.416492,-102.061866
19.416232,-102.061957
19.416085,-102.061989
19.416044,-102.061957
19.415993,-102.06177
19.415948,-102.061671
19.415905,-102.061528
19.415865,-102.06136
19.415799,-102.061144
19.415745,-102.060972
19.415681,-102.060805
19.415636,-102.060642
19.415569,-102.060451
19.415532,-102.060331
19.415493,-102.060173
19.415422,-102.059945
19.415358,-102.059737
19.415291,-102.059525
19.415216,-102.059276
19.415138,-102.05902
19.415117,-102.058946
19.415058,-102.058742
19.414977,-102.058457
19.414928,-102.058311
19.414887,-102.05815
19.414849,-102.058039
19.414754,-102.057714
19.414728,-102.057599
19.414629,-102.057245
19.414572,-102.057021
19.41452,-102.056875
19.414447,-102.056659
19.414374,-102.05646
19.414291,-102.056235
19.414224,-102.056051
19.414164,-102.055894
19.414074,-102.055643
19.413978,-102.055354
19.413913,-102.055159
19.413836,-102.054929
19.413732,-102.054646
19.413588,-102.054258
19.413478,-102.053967
19.413373,-102.053652
19.413287,-102.053402
19.413181,-102.05311
