Latitude,Longitude
19.432974,-102.075063
19.432794,-102.075278
19.432602,-102.075439
19.432225,-102.075777
19.431944,-102.075929
19.431653,-102.076007
19.431378,-102.075816
19.431261,-102.075754
19.431183,-102.07592
19.431099,-102.076097
19.430998,-102.07632
19.430983,-102.076406
19.430958,-102.076838
19.430869,-102.077205
19.430811,-102.077374
19.430707,-102.077688
19.430556,-102.078136
19.430449,-102.078643
19.430323,-102.079131
19.430199,-102.079541
19.43005,-102.079971
19.429933,-102.080306
19.429799,-102.080574
19.429706,-102.080834
19.42964,-102.081061
19.429607,-102.081283
19.429589,-102.081538
19.429589,-102.081989
19.4296,-102.082217
19.429637,-102.082391
19.429625,-102.082538
19.429549,-102.083088
19.429463,-102.083598
19.429476,-102.083673
19.428982,-102.083705
19.428767,-102.083697
19.428057,-102.083727
19.427925,-102.083735
19.427199,-102.08378
19.427065,-102.083788
19.426258,-102.083815
19.42612,-102.083806
19.425412,-102.08386
19.425333,-102.083852
19.425336,-102.083744
19.425134,-102.08368
19.425182,-102.083487
19.425227,-102.083208
19.425207,-102.08273
19.425194,-102.082481
19.425146,-102.081623
19.425128,-102.081456
19.425096,-102.081419
19.425035,-102.0814
19.424476,-102.081443
19.4242,-102.081438
19.423623,-102.081443
19.423434,-102.081459
19.423322,-102.081446
19.422971,-102.081476
19.422346,-102.081492
19.421757,-102.081489
19.42159,-102.081395
19.421555,-102.081186
19.421494,-102.080894
19.421362,-102.079909
19.421285,-102.079292
19.421144,-102.078597
19.421199,-102.078433
19.421202,-102.078267
19.421098,-102.07776
19.421032,-102.077403
19.420994,-102.077092
19.420941,-102.076725
19.420939,-102.076501
19.420907,-102.076421
19.420775,-102.076203
19.420621,-102.075898
19.42054,-102.075659
19.420451,-102.075463
19.420365,-102.075318
19.420236,-102.075163
19.420155,-102.075088
19.420043,-102.074953
19.419921,-102.074686
19.419876,-102.074538
19.419852,-102.074383
19.419812,-102.074195
19.419685,-102.073763
19.419627,-102.073683
19.419549,-102.073471
19.419465,-102.073342
19.419389,-102.073197
19.419286,-102.07276
19.419164,-102.072362
19.419002,-102.07179
19.418927,-102.071538
19.418895,-102.071541
19.418473,-102.071665
19.418385,-102.071699
19.41803,-102.071803
19.417961,-102.071844
19.41789,-102.071861
19.417667,-102.071962
19.417412,-102.072041
19.416934,-102.072202
19.416402,-102.072349
19.41616,-102.072389
19.4158,-102.072322
19.415766,-102.072316
19.415695,-102.072308
19.415463,-102.072281
19.415129,-102.072214
19.414802,-102.072137
19.414676,-102.07211
19.414203,-102.071985
19.413849,-102.071901
19.41372,-102.071849
19.413528,-102.071801
19.41329,-102.071726
19.413052,-102.07168
19.412921,-102.071634
19.412555,-102.071524
19.41239,-102.071495
19.411998,-102.07138
19.411763,-102.071348
19.411578,-102.071286
19.411398,-102.07123
19.41107,-102.071152
19.410725,-102.071034
19.410392,-102.070878
19.410179,-102.070714
19.41003,-102.070562
19.409977,-102.070374
19.409969,-102.070334
19.409772,-102.070505
19.409597,-102.070666
19.409499,-102.070905
19.40938,-102.071431
19.409256,-102.071838
19.409124,-102.072351
19.409071,-102.07264
19.409096,-102.072941
19.409058,-102.073088
19.408942,-102.07334
19.408669,-102.073595
19.408557,-102.073673
19.408213,-102.073829
19.407998,-102.073879
19.407874,-102.07392
19.407553,-102.074065
19.407336,-102.074212
19.407103,-102.074416
19.407022,-102.074521
19.406797,-102.074837
19.406693,-102.07484
19.406665,-102.074952
19.406604,-102.075014
19.406541,-102.075044
19.406465,-102.075044
19.4064,-102.075025
19.406364,-102.074985
19.406326,-102.07492
19.406326,-102.074845
19.406339,-102.074791
19.406293,-102.074748
19.406233,-102.074684
19.406192,-102.074502
19.406116,-102.074327
19.406015,-102.074019
19.405921,-102.073844
19.405795,-102.073598
19.405643,-102.073362
19.405527,-102.073147
19.40541,-102.072914
19.405312,-102.072774
19.405173,-102.0726
19.405033,-102.072431
19.404869,-102.07227
19.40478,-102.072168
19.404591,-102.071999
19.404484,-102.071868
19.404355,-102.071691
19.404273,-102.071575
19.404078,-102.071293
19.404005,-102.071213
19.403863,-102.071028
19.403755,-102.070975
19.403661,-102.071013
19.403567,-102.070648
19.403562,-102.070573
19.40354,-102.070417
19.403428,-102.070128
19.403395,-102.069988
19.403294,-102.069766
19.403269,-102.069648
